driver,team,lap,stint,compound,tyre_age,lap_time_s,traffic_ratio,clean_air_share,missing,telemetry_coverage,candidate_weight,fuel_adjusted_lap_time_s,condition_prediction_s,condition_residual_s,representative_lap,robust_weight_role
ALB,Williams,13,2,HARD,5.0,89.69200134277344,0.046859878027876965,0.9531401219721231,0.0,1.0,0.9084760921130336,90.07600134277344,90.34858425002867,-0.27258290725522727,True,huber_inlier
ALB,Williams,14,2,HARD,6.0,89.79299926757812,0.0687247017641384,0.9312752982358616,0.0,1.0,0.867273681104293,90.20899926757812,90.36942796243531,-0.16042869485718825,True,huber_inlier
ALB,Williams,15,2,HARD,7.0,89.81900024414062,0.038033507644725725,0.9619664923552743,0.0,1.0,0.92537953241431,90.26700024414062,90.38976204751617,-0.12276180337555331,True,huber_inlier
ALB,Williams,23,2,HARD,15.0,90.62100219726562,0.16094588189688866,0.8390541181031114,0.0,1.0,0.70401181310579,91.32500219726562,90.5340881444352,0.7909140528304164,False,huber_downweighted_outlier
ALB,Williams,35,3,MEDIUM,2.0,88.58799743652344,0.09224022075829376,0.9077597792417063,0.0,1.0,0.8240278168089513,89.67599743652343,89.12791912106961,0.5480783154538216,False,huber_downweighted_outlier
ALB,Williams,36,3,MEDIUM,3.0,88.43900299072266,0.0,1.0,0.0,1.0,1.0,89.55900299072266,89.21271498823923,0.3462880024834334,False,huber_downweighted_outlier
ALB,Williams,37,3,MEDIUM,4.0,88.41100311279297,0.0,1.0,0.0,1.0,1.0,89.56300311279297,89.29700122808306,0.26600188470990815,True,huber_inlier
ALB,Williams,44,3,MEDIUM,11.0,88.50700378417969,0.0,1.0,0.0,1.0,1.0,89.88300378417969,89.87273534186824,0.010268442311456738,True,huber_inlier
ALB,Williams,45,3,MEDIUM,12.0,88.36699676513672,0.04588082090528299,0.954119179094717,0.0,1.0,0.9103434079163767,89.77499676513672,89.95294456310589,-0.1779477979691677,True,huber_inlier
ALB,Williams,46,3,MEDIUM,13.0,88.51699829101562,0.0,1.0,0.0,1.0,1.0,89.95699829101562,90.03264415701774,-0.07564586600211953,True,huber_inlier
ALB,Williams,54,3,MEDIUM,21.0,88.75199890136719,0.0,1.0,0.0,1.0,1.0,90.44799890136719,90.65189432458476,-0.20389542321757403,True,huber_inlier
ALB,Williams,55,3,MEDIUM,22.0,88.78500366210938,0.0,1.0,0.0,1.0,1.0,90.51300366210937,90.72700727256465,-0.21400361045527916,True,huber_inlier
ALB,Williams,56,3,MEDIUM,23.0,89.06099700927734,0.08428154443563766,0.9157184555643624,0.0,1.0,0.8385402898611811,90.82099700927735,90.80161059321877,0.01938641605858038,True,huber_inlier
ALO,Aston Martin,9,1,MEDIUM,10.0,90.01100158691406,0.06665262906824795,0.933347370931752,0.0,1.0,0.8711373148252135,90.26700158691406,90.99718322822135,-0.7301816413072828,False,huber_downweighted_outlier
ALO,Aston Martin,15,1,MEDIUM,16.0,89.83599853515625,0.0,1.0,0.0,1.0,1.0,90.28399853515624,91.34705365184864,-1.0630551166923965,False,huber_downweighted_outlier
ALO,Aston Martin,18,2,HARD,3.0,89.99299621582031,0.15378980431237757,0.8462101956876225,0.0,1.0,0.7160716952856843,90.53699621582031,90.30582214709874,0.23117406872157176,True,huber_inlier
ALO,Aston Martin,19,2,HARD,4.0,90.11199951171875,0.01030562333261288,0.9896943766673871,0.0,1.0,0.979494959207048,90.68799951171874,90.33203603477,0.35596347694874453,False,huber_downweighted_outlier
ALO,Aston Martin,20,2,HARD,5.0,90.10700225830078,0.007513680505885754,0.9924863194941143,0.0,1.0,0.985029094382973,90.71500225830079,90.35774029511549,0.35726196318529446,False,huber_downweighted_outlier
ALO,Aston Martin,29,2,HARD,14.0,90.39700317382812,0.13918804929226108,0.860811950707739,0.0,1.0,0.7409972144812629,91.29300317382813,90.56614540856498,0.7268577652631478,False,huber_downweighted_outlier
ALO,Aston Martin,30,2,HARD,15.0,90.41000366210938,0.01951664772477822,0.9804833522752218,0.0,1.0,0.9613476040888567,91.33800366210937,90.5867533956527,0.7512502664566654,False,huber_downweighted_outlier
ALO,Aston Martin,31,2,HARD,16.0,89.70800018310547,0.001480389341380384,0.9985196106586196,0.0,1.0,0.9970414128698413,90.66800018310546,90.60685175541467,0.06114842769079587,True,huber_inlier
ALO,Aston Martin,32,2,HARD,17.0,90.0479965209961,0.012642225437729488,0.9873577745622705,0.0,1.0,0.9748753749885594,91.0399965209961,90.62644048785086,0.41355603314524103,False,huber_downweighted_outlier
ALO,Aston Martin,33,2,HARD,18.0,89.98200225830078,0.0014761062799273487,0.9985238937200727,0.0,1.0,0.997049966329895,91.00600225830078,90.64551959296126,0.3604826653395179,False,huber_downweighted_outlier
ALO,Aston Martin,34,2,HARD,19.0,89.7509994506836,0.0,1.0,0.0,1.0,1.0,90.80699945068359,90.6640890707459,0.14291037993768896,True,huber_inlier
ALO,Aston Martin,35,2,HARD,20.0,89.76399993896484,0.0075536862732516604,0.9924463137267483,0.0,1.0,0.9849496856298113,90.85199993896484,90.68214892120476,0.16985101776008094,True,huber_inlier
ALO,Aston Martin,36,2,HARD,21.0,89.81900024414062,0.048262823036301396,0.9517371769636986,0.0,1.0,0.9058036540148307,90.93900024414063,90.69969914433784,0.23930109980278758,True,huber_inlier
