team,standardized_pace_s,drivers,driver_count,status,aggregation,visual_rank,delta_to_fastest_pct
McLaren,89.44688394,"['NOR', 'PIA']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,1,0.0
Ferrari,89.50941837,"['LEC', 'HAM']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,2,0.069912
Red Bull Racing,89.94371047,"['VER', 'TSU']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,3,0.555443
Mercedes,90.24994717,"['RUS', 'ANT']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,4,0.89781
Haas F1 Team,90.38747054,"['OCO', 'BEA']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,5,1.051559
Williams,90.4034033,"['ALB', 'SAI']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,6,1.069371
Aston Martin,90.49559122,"['STR', 'ALO']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,7,1.172436
Alpine,90.59476768,"['GAS', 'COL']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,8,1.283313
Racing Bulls,90.74969702,"['LAW', 'HAD']",2,PUBLISHABLE_VISUAL_PROXY,equal_weight_two_driver_mean,9,1.456521
Kick Sauber,,['BOR'],1,INSUFFICIENT_TWO_CAR_SUPPORT,equal_weight_two_driver_mean,10,
