feature,coefficient
tyre_age,0.7002244824643357
tyre_age_sq,-0.26838089614827976
lap_fraction,-0.632381915277169
lap_fraction_sq,0.30423962483180916
driver=ALO,0.2476297569606994
driver=ANT,-0.008927887569703514
driver=BEA,0.08502366327294737
driver=BOR,0.36575650665032916
driver=COL,0.33813547423456075
driver=GAS,0.1782111365294784
driver=HAD,0.4662563421408334
driver=HAM,-0.634579822320345
driver=LAW,0.3599489465303855
driver=LEC,-1.0197721672579507
driver=NOR,-1.0369059754713905
driver=OCO,0.016728668614713088
driver=PIA,-0.7425148878311746
driver=RUS,-0.16436651783399894
driver=SAI,0.13361784998152887
driver=STR,0.07036394247066506
driver=TSU,0.14227885697756001
driver=VER,-0.9280466677786724
compound=MEDIUM,0.3291134139573354
tyre_age_x_compound=MEDIUM,0.5211232793399282
