driver,team,standardized_pace_s,sample,status,rank_role,visual_rank,delta_to_fastest_pct
NOR,McLaren,89.2996884,"{'candidate_laps': 39, 'representative_laps': 26, 'downweighted_outliers': 13, 'kish_ess': 25.996659436207565, 'compounds': ['HARD', 'MEDIUM'], 'stints': 3, 'tyre_age_range': [4.0, 23.0], 'lap_fraction_range': [0.2069, 0.93103], 'traffic_distribution': {'mean': 0.00108307, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,1.0,0.0
LEC,Ferrari,89.3168222,"{'candidate_laps': 25, 'representative_laps': 13, 'downweighted_outliers': 12, 'kish_ess': 12.919251623141587, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [7.0, 22.0], 'lap_fraction_range': [0.43103, 0.96552], 'traffic_distribution': {'mean': 0.01104191, 'median': 0.0, 'p90': 0.02436236, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,2.0,0.019187
VER,Red Bull Racing,89.4085477,"{'candidate_laps': 48, 'representative_laps': 39, 'downweighted_outliers': 9, 'kish_ess': 38.88460213794908, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [2.0, 27.0], 'lap_fraction_range': [0.03448, 0.86207], 'traffic_distribution': {'mean': 0.00321197, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,3.0,0.121903
PIA,McLaren,89.59407948,"{'candidate_laps': 35, 'representative_laps': 32, 'downweighted_outliers': 3, 'kish_ess': 31.999213159869495, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [3.0, 39.0], 'lap_fraction_range': [0.08621, 0.94828], 'traffic_distribution': {'mean': 0.00074527, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,4.0,0.329666
HAM,Ferrari,89.70201455,"{'candidate_laps': 6, 'representative_laps': 4, 'downweighted_outliers': 2, 'kish_ess': 3.9996878873792645, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [3.0, 6.0], 'lap_fraction_range': [0.18966, 0.24138], 'traffic_distribution': {'mean': 0.00251112, 'median': 0.0, 'p90': 0.00714038, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,5.0,0.450535
RUS,Mercedes,90.17222785,"{'candidate_laps': 37, 'representative_laps': 34, 'downweighted_outliers': 3, 'kish_ess': 33.87973207053129, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [8.0, 44.0], 'lap_fraction_range': [0.17241, 1.0], 'traffic_distribution': {'mean': 0.00608686, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,6.0,0.977091
ANT,Mercedes,90.32766648,"{'candidate_laps': 10, 'representative_laps': 9, 'downweighted_outliers': 1, 'kish_ess': 8.88564614326654, 'compounds': ['MEDIUM'], 'stints': 1, 'tyre_age_range': [2.0, 18.0], 'lap_fraction_range': [0.58621, 0.86207], 'traffic_distribution': {'mean': 0.02599296, 'median': 0.0, 'p90': 0.08810786, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,7.0,1.151155
ALB,Williams,90.33659437,"{'candidate_laps': 13, 'representative_laps': 10, 'downweighted_outliers': 3, 'kish_ess': 9.96049376003851, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [4.0, 23.0], 'lap_fraction_range': [0.22414, 0.96552], 'traffic_distribution': {'mean': 0.02643493, 'median': 0.01901675, 'p90': 0.07028039, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,8.0,1.161153
OCO,Haas F1 Team,90.35332304,"{'candidate_laps': 9, 'representative_laps': 8, 'downweighted_outliers': 1, 'kish_ess': 7.934278380136079, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [15.0, 38.0], 'lap_fraction_range': [0.25862, 0.98276], 'traffic_distribution': {'mean': 0.01847091, 'median': 0.00161551, 'p90': 0.05562434, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,9.0,1.179886
STR,Aston Martin,90.40695831,"{'candidate_laps': 17, 'representative_laps': 13, 'downweighted_outliers': 4, 'kish_ess': 12.97243873984396, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [24.0, 42.0], 'lap_fraction_range': [0.39655, 0.7069], 'traffic_distribution': {'mean': 0.00658303, 'median': 0.0, 'p90': 0.00829374, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,10.0,1.239948
BEA,Haas F1 Team,90.42161804,"{'candidate_laps': 4, 'representative_laps': 3, 'downweighted_outliers': 1, 'kish_ess': 3.0, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [3.0, 5.0], 'lap_fraction_range': [0.2931, 0.32759], 'traffic_distribution': {'mean': 0.0, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,11.0,1.256365
SAI,Williams,90.47021222,"{'candidate_laps': 8, 'representative_laps': 8, 'downweighted_outliers': 0, 'kish_ess': 7.9561645177429, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [2.0, 16.0], 'lap_fraction_range': [0.34483, 0.58621], 'traffic_distribution': {'mean': 0.01748957, 'median': 0.0, 'p90': 0.07051658, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,12.0,1.310782
TSU,Red Bull Racing,90.47887323,"{'candidate_laps': 15, 'representative_laps': 14, 'downweighted_outliers': 1, 'kish_ess': 13.933280676051059, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [2.0, 31.0], 'lap_fraction_range': [0.34483, 0.93103], 'traffic_distribution': {'mean': 0.01315765, 'median': 0.0, 'p90': 0.05761255, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,13.0,1.32048
GAS,Alpine,90.51480551,"{'candidate_laps': 31, 'representative_laps': 21, 'downweighted_outliers': 10, 'kish_ess': 20.878455029906046, 'compounds': ['HARD', 'MEDIUM'], 'stints': 3, 'tyre_age_range': [2.0, 20.0], 'lap_fraction_range': [0.15517, 0.98276], 'traffic_distribution': {'mean': 0.01280518, 'median': 0.0, 'p90': 0.05643287, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,14.0,1.360718
ALO,Aston Martin,90.58422413,"{'candidate_laps': 34, 'representative_laps': 17, 'downweighted_outliers': 17, 'kish_ess': 16.916204124078366, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [3.0, 43.0], 'lap_fraction_range': [0.31034, 1.0], 'traffic_distribution': {'mean': 0.00995488, 'median': 0.0, 'p90': 0.02383734, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,15.0,1.438455
COL,Alpine,90.67472985,"{'candidate_laps': 31, 'representative_laps': 29, 'downweighted_outliers': 2, 'kish_ess': 28.930183061110448, 'compounds': ['HARD', 'MEDIUM'], 'stints': 3, 'tyre_age_range': [2.0, 18.0], 'lap_fraction_range': [0.24138, 0.96552], 'traffic_distribution': {'mean': 0.0055976, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,16.0,1.539805
LAW,Racing Bulls,90.69654332,"{'candidate_laps': 26, 'representative_laps': 23, 'downweighted_outliers': 3, 'kish_ess': 22.984918149844578, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [2.0, 36.0], 'lap_fraction_range': [0.39655, 0.98276], 'traffic_distribution': {'mean': 0.0024692, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,17.0,1.564233
BOR,Kick Sauber,90.70235088,"{'candidate_laps': 5, 'representative_laps': 4, 'downweighted_outliers': 1, 'kish_ess': 3.90456451477599, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [35.0, 38.0], 'lap_fraction_range': [0.86207, 0.91379], 'traffic_distribution': {'mean': 0.04352726, 'median': 0.01631245, 'p90': 0.13810602, 'missing_mean': 0.0}}",PUBLISHABLE_VISUAL_PROXY,common_condition_method_equivalent_visual_proxy_not_causal_order,18.0,1.570736
