team,left_driver,right_driver,visual_left_minus_right_pct,visual_faster_driver,visual_role,audited_status,audited_left_minus_right_pct,gate_failures,left_sample,right_sample,common_support
Alpine,COL,GAS,0.176683,GAS,method_equivalent_common_condition_h2h_lower_pct_is_faster,COMPARABLE,0.176683,[],"{'candidate_laps': 31, 'representative_laps': 29, 'downweighted_outliers': 2, 'kish_ess': 28.930183061110448, 'compounds': ['HARD', 'MEDIUM'], 'stints': 3, 'tyre_age_range': [2.0, 18.0], 'lap_fraction_range': [0.24138, 0.96552], 'traffic_distribution': {'mean': 0.0055976, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}","{'candidate_laps': 31, 'representative_laps': 21, 'downweighted_outliers': 10, 'kish_ess': 20.878455029906046, 'compounds': ['HARD', 'MEDIUM'], 'stints': 3, 'tyre_age_range': [2.0, 20.0], 'lap_fraction_range': [0.15517, 0.98276], 'traffic_distribution': {'mean': 0.01280518, 'median': 0.0, 'p90': 0.05643287, 'missing_mean': 0.0}}","{'compounds': ['HARD', 'MEDIUM'], 'tyre_age_overlap_span_laps': 25.0, 'tyre_age_details': [{'compound': 'HARD', 'left_range': [2.0, 18.0], 'right_range': [2.0, 17.0], 'overlap_range': [2.0, 17.0], 'overlap_span_laps': 15.0}, {'compound': 'MEDIUM', 'left_range': [2.0, 16.0], 'right_range': [6.0, 20.0], 'overlap_range': [6.0, 16.0], 'overlap_span_laps': 10.0}], 'phase_overlap_span': 0.72414, 'phase_overlap_ratio': 0.874998, 'traffic_mean_gap': 0.00720758}"
Aston Martin,ALO,STR,0.196075,STR,method_equivalent_common_condition_h2h_lower_pct_is_faster,AUDIT_ONLY,,['phase_overlap_ratio_lt_0_50'],"{'candidate_laps': 34, 'representative_laps': 17, 'downweighted_outliers': 17, 'kish_ess': 16.916204124078366, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [3.0, 43.0], 'lap_fraction_range': [0.31034, 1.0], 'traffic_distribution': {'mean': 0.00995488, 'median': 0.0, 'p90': 0.02383734, 'missing_mean': 0.0}}","{'candidate_laps': 17, 'representative_laps': 13, 'downweighted_outliers': 4, 'kish_ess': 12.97243873984396, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [24.0, 42.0], 'lap_fraction_range': [0.39655, 0.7069], 'traffic_distribution': {'mean': 0.00658303, 'median': 0.0, 'p90': 0.00829374, 'missing_mean': 0.0}}","{'compounds': ['HARD'], 'tyre_age_overlap_span_laps': 18.0, 'tyre_age_details': [{'compound': 'HARD', 'left_range': [3.0, 43.0], 'right_range': [24.0, 42.0], 'overlap_range': [24.0, 42.0], 'overlap_span_laps': 18.0}], 'phase_overlap_span': 0.31035, 'phase_overlap_ratio': 0.450004, 'traffic_mean_gap': 0.00337185}"
Ferrari,HAM,LEC,0.431265,LEC,method_equivalent_common_condition_h2h_lower_pct_is_faster,AUDIT_ONLY,,"['left_representative_laps_lt_6', 'left_kish_ess_lt_6', 'common_tyre_age_span_lt_5', 'phase_overlap_ratio_lt_0_50']","{'candidate_laps': 6, 'representative_laps': 4, 'downweighted_outliers': 2, 'kish_ess': 3.9996878873792645, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [3.0, 6.0], 'lap_fraction_range': [0.18966, 0.24138], 'traffic_distribution': {'mean': 0.00251112, 'median': 0.0, 'p90': 0.00714038, 'missing_mean': 0.0}}","{'candidate_laps': 25, 'representative_laps': 13, 'downweighted_outliers': 12, 'kish_ess': 12.919251623141587, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [7.0, 22.0], 'lap_fraction_range': [0.43103, 0.96552], 'traffic_distribution': {'mean': 0.01104191, 'median': 0.0, 'p90': 0.02436236, 'missing_mean': 0.0}}","{'compounds': ['HARD'], 'tyre_age_overlap_span_laps': 0.0, 'tyre_age_details': [{'compound': 'HARD', 'left_range': [3.0, 6.0], 'right_range': [9.0, 22.0], 'overlap_range': None, 'overlap_span_laps': 0.0}], 'phase_overlap_span': 0.0, 'phase_overlap_ratio': 0.0, 'traffic_mean_gap': 0.00853079}"
Haas F1 Team,BEA,OCO,0.075587,OCO,method_equivalent_common_condition_h2h_lower_pct_is_faster,AUDIT_ONLY,,"['left_representative_laps_lt_6', 'left_kish_ess_lt_6', 'common_tyre_age_span_lt_5', 'phase_overlap_ratio_lt_0_50']","{'candidate_laps': 4, 'representative_laps': 3, 'downweighted_outliers': 1, 'kish_ess': 3.0, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [3.0, 5.0], 'lap_fraction_range': [0.2931, 0.32759], 'traffic_distribution': {'mean': 0.0, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}","{'candidate_laps': 9, 'representative_laps': 8, 'downweighted_outliers': 1, 'kish_ess': 7.934278380136079, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [15.0, 38.0], 'lap_fraction_range': [0.25862, 0.98276], 'traffic_distribution': {'mean': 0.01847091, 'median': 0.00161551, 'p90': 0.05562434, 'missing_mean': 0.0}}","{'compounds': ['HARD'], 'tyre_age_overlap_span_laps': 0.0, 'tyre_age_details': [{'compound': 'HARD', 'left_range': [3.0, 5.0], 'right_range': [34.0, 38.0], 'overlap_range': None, 'overlap_span_laps': 0.0}], 'phase_overlap_span': 0.03449, 'phase_overlap_ratio': 0.047629, 'traffic_mean_gap': 0.01847091}"
Kick Sauber,BOR,HUL,,,NOT_PUBLISHED_INSUFFICIENT_MODEL_SUPPORT,AUDIT_ONLY,,['one_or_both_drivers_below_three_clean_air_candidate_laps'],"{'candidate_laps': 5, 'representative_laps': 0, 'kish_ess': 0.0}","{'candidate_laps': 2, 'representative_laps': 0, 'kish_ess': 0.0}","{'compounds': [], 'tyre_age_overlap_span_laps': None, 'tyre_age_details': [], 'phase_overlap_span': None, 'phase_overlap_ratio': None, 'traffic_mean_gap': None}"
McLaren,NOR,PIA,-0.328583,NOR,method_equivalent_common_condition_h2h_lower_pct_is_faster,COMPARABLE,-0.328583,[],"{'candidate_laps': 39, 'representative_laps': 26, 'downweighted_outliers': 13, 'kish_ess': 25.996659436207565, 'compounds': ['HARD', 'MEDIUM'], 'stints': 3, 'tyre_age_range': [4.0, 23.0], 'lap_fraction_range': [0.2069, 0.93103], 'traffic_distribution': {'mean': 0.00108307, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}","{'candidate_laps': 35, 'representative_laps': 32, 'downweighted_outliers': 3, 'kish_ess': 31.999213159869495, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [3.0, 39.0], 'lap_fraction_range': [0.08621, 0.94828], 'traffic_distribution': {'mean': 0.00074527, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}","{'compounds': ['HARD', 'MEDIUM'], 'tyre_age_overlap_span_laps': 20.0, 'tyre_age_details': [{'compound': 'HARD', 'left_range': [4.0, 23.0], 'right_range': [5.0, 39.0], 'overlap_range': [5.0, 23.0], 'overlap_span_laps': 18.0}, {'compound': 'MEDIUM', 'left_range': [12.0, 15.0], 'right_range': [3.0, 14.0], 'overlap_range': [12.0, 14.0], 'overlap_span_laps': 2.0}], 'phase_overlap_span': 0.72413, 'phase_overlap_ratio': 0.83999, 'traffic_mean_gap': 0.0003378}"
Mercedes,ANT,RUS,0.17238,RUS,method_equivalent_common_condition_h2h_lower_pct_is_faster,AUDIT_ONLY,,"['common_tyre_age_span_lt_5', 'phase_overlap_ratio_lt_0_50']","{'candidate_laps': 10, 'representative_laps': 9, 'downweighted_outliers': 1, 'kish_ess': 8.88564614326654, 'compounds': ['MEDIUM'], 'stints': 1, 'tyre_age_range': [2.0, 18.0], 'lap_fraction_range': [0.58621, 0.86207], 'traffic_distribution': {'mean': 0.02599296, 'median': 0.0, 'p90': 0.08810786, 'missing_mean': 0.0}}","{'candidate_laps': 37, 'representative_laps': 34, 'downweighted_outliers': 3, 'kish_ess': 33.87973207053129, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [8.0, 44.0], 'lap_fraction_range': [0.17241, 1.0], 'traffic_distribution': {'mean': 0.00608686, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}","{'compounds': ['MEDIUM'], 'tyre_age_overlap_span_laps': 3.0, 'tyre_age_details': [{'compound': 'MEDIUM', 'left_range': [2.0, 18.0], 'right_range': [10.0, 13.0], 'overlap_range': [10.0, 13.0], 'overlap_span_laps': 3.0}], 'phase_overlap_span': 0.27586, 'phase_overlap_ratio': 0.333329, 'traffic_mean_gap': 0.0199061}"
Racing Bulls,HAD,LAW,0.117212,LAW,method_equivalent_common_condition_h2h_lower_pct_is_faster,COMPARABLE,0.117212,[],"{'candidate_laps': 16, 'representative_laps': 13, 'downweighted_outliers': 3, 'kish_ess': 12.99906439588892, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [2.0, 42.0], 'lap_fraction_range': [0.22414, 0.96552], 'traffic_distribution': {'mean': 0.0027566, 'median': 0.0, 'p90': 0.00953772, 'missing_mean': 0.0}}","{'candidate_laps': 26, 'representative_laps': 23, 'downweighted_outliers': 3, 'kish_ess': 22.984918149844578, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [2.0, 36.0], 'lap_fraction_range': [0.39655, 0.98276], 'traffic_distribution': {'mean': 0.0024692, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}","{'compounds': ['HARD'], 'tyre_age_overlap_span_laps': 34.0, 'tyre_age_details': [{'compound': 'HARD', 'left_range': [2.0, 42.0], 'right_range': [2.0, 36.0], 'overlap_range': [2.0, 36.0], 'overlap_span_laps': 34.0}], 'phase_overlap_span': 0.56897, 'phase_overlap_ratio': 0.750007, 'traffic_mean_gap': 0.0002874}"
Red Bull Racing,TSU,VER,1.197118,VER,method_equivalent_common_condition_h2h_lower_pct_is_faster,COMPARABLE,1.197118,[],"{'candidate_laps': 15, 'representative_laps': 14, 'downweighted_outliers': 1, 'kish_ess': 13.933280676051059, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [2.0, 31.0], 'lap_fraction_range': [0.34483, 0.93103], 'traffic_distribution': {'mean': 0.01315765, 'median': 0.0, 'p90': 0.05761255, 'missing_mean': 0.0}}","{'candidate_laps': 48, 'representative_laps': 39, 'downweighted_outliers': 9, 'kish_ess': 38.88460213794908, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [2.0, 27.0], 'lap_fraction_range': [0.03448, 0.86207], 'traffic_distribution': {'mean': 0.00321197, 'median': 0.0, 'p90': 0.0, 'missing_mean': 0.0}}","{'compounds': ['HARD', 'MEDIUM'], 'tyre_age_overlap_span_laps': 26.0, 'tyre_age_details': [{'compound': 'HARD', 'left_range': [20.0, 31.0], 'right_range': [3.0, 27.0], 'overlap_range': [20.0, 27.0], 'overlap_span_laps': 7.0}, {'compound': 'MEDIUM', 'left_range': [2.0, 22.0], 'right_range': [2.0, 21.0], 'overlap_range': [2.0, 21.0], 'overlap_span_laps': 19.0}], 'phase_overlap_span': 0.51724, 'phase_overlap_ratio': 0.576923, 'traffic_mean_gap': 0.00994568}"
Williams,ALB,SAI,-0.147693,ALB,method_equivalent_common_condition_h2h_lower_pct_is_faster,AUDIT_ONLY,,"['common_tyre_age_span_lt_5', 'phase_overlap_ratio_lt_0_50']","{'candidate_laps': 13, 'representative_laps': 10, 'downweighted_outliers': 3, 'kish_ess': 9.96049376003851, 'compounds': ['HARD', 'MEDIUM'], 'stints': 2, 'tyre_age_range': [4.0, 23.0], 'lap_fraction_range': [0.22414, 0.96552], 'traffic_distribution': {'mean': 0.02643493, 'median': 0.01901675, 'p90': 0.07028039, 'missing_mean': 0.0}}","{'candidate_laps': 8, 'representative_laps': 8, 'downweighted_outliers': 0, 'kish_ess': 7.9561645177429, 'compounds': ['HARD'], 'stints': 1, 'tyre_age_range': [2.0, 16.0], 'lap_fraction_range': [0.34483, 0.58621], 'traffic_distribution': {'mean': 0.01748957, 'median': 0.0, 'p90': 0.07051658, 'missing_mean': 0.0}}","{'compounds': ['HARD'], 'tyre_age_overlap_span_laps': 2.0, 'tyre_age_details': [{'compound': 'HARD', 'left_range': [5.0, 7.0], 'right_range': [2.0, 16.0], 'overlap_range': [5.0, 7.0], 'overlap_span_laps': 2.0}], 'phase_overlap_span': 0.24138, 'phase_overlap_ratio': 0.325582, 'traffic_mean_gap': 0.00894536}"
