driver,team,lap_number,lane_duration,stop_duration,date
HUL,Kick Sauber,7,21.6,,2025-12-07T13:14:35.391000+00:00
ALB,Williams,8,21.551,2.1,2025-12-07T13:16:05.538000+00:00
HAM,Ferrari,8,21.601,2.4,2025-12-07T13:16:02.970000+00:00
GAS,Alpine,13,22.585,3.0,2025-12-07T13:23:44.702000+00:00
BEA,Haas F1 Team,14,22.263,3.0,2025-12-07T13:25:07.866000+00:00
HAD,Racing Bulls,14,21.932,2.6,2025-12-07T13:25:03.744000+00:00
RUS,Mercedes,14,21.979,2.3,2025-12-07T13:24:56.676000+00:00
BOR,Kick Sauber,15,22.121,2.5,2025-12-07T13:26:30.094000+00:00
COL,Alpine,15,21.953,2.7,2025-12-07T13:26:47.592000+00:00
ALO,Aston Martin,16,23.267,4.1,2025-12-07T13:27:59.378000+00:00
LEC,Ferrari,16,21.692,2.5,2025-12-07T13:27:53.297000+00:00
NOR,McLaren,16,21.323,2.1,2025-12-07T13:27:50.505000+00:00
SAI,Williams,18,21.799,2.7,2025-12-07T13:31:13.956000+00:00
OCO,Haas F1 Team,19,22.254,2.7,2025-12-07T13:32:39.350000+00:00
LAW,Racing Bulls,21,28.369,8.9,2025-12-07T13:35:56.234000+00:00
VER,Red Bull Racing,23,21.703,2.3,2025-12-07T13:38:12.048000+00:00
HAM,Ferrari,31,21.417,2.1,2025-12-07T13:50:48.636000+00:00
ANT,Mercedes,32,22.155,2.6,2025-12-07T13:52:27.790000+00:00
TSU,Red Bull Racing,32,27.041,7.9,2025-12-07T13:52:20.008000+00:00
ALB,Williams,33,21.495,2.4,2025-12-07T13:53:58.599000+00:00
LEC,Ferrari,39,20.902,2.0,2025-12-07T14:02:15.372000+00:00
COL,Alpine,40,22.955,3.6,2025-12-07T14:04:44.299000+00:00
GAS,Alpine,40,22.234,3.0,2025-12-07T14:04:37.122000+00:00
NOR,McLaren,40,21.407,2.4,2025-12-07T14:03:37.692000+00:00
PIA,McLaren,41,21.565,2.2,2025-12-07T14:05:01.126000+00:00
HUL,Kick Sauber,42,21.468,2.4,2025-12-07T14:07:26.254000+00:00
STR,Aston Martin,42,21.535,2.3,2025-12-07T14:07:18.986000+00:00
