driver,team,raw_samples,sample_braking_pct,sample_lift_pct,sample_partial_throttle_pct,sample_full_throttle_pct,time_braking_pct,time_lift_pct,time_partial_throttle_pct,time_full_throttle_pct
HAD,Racing Bulls,318,13.836478,2.515723,16.037736,67.610063,13.967799,2.649294,17.295071,66.087836
BOR,Kick Sauber,313,14.057508,2.236422,16.932907,66.773163,15.858126,1.742,16.539935,65.859939
ALO,Aston Martin,324,14.197531,2.160494,17.283951,66.358025,13.993006,2.702605,17.074288,66.230101
VER,Red Bull Racing,310,13.548387,1.612903,18.709677,66.129032,14.260341,1.217761,19.024331,65.497567
LAW,Racing Bulls,314,11.464968,2.229299,20.382166,65.923567,13.720345,2.070269,18.632419,65.576967
NOR,McLaren,311,13.18328,2.250804,18.649518,65.916399,13.179506,2.51938,18.313953,65.987161
STR,Aston Martin,322,13.664596,4.347826,16.149068,65.838509,13.675285,5.024216,15.840771,65.459728
TSU,Red Bull Racing,309,13.268608,4.20712,16.828479,65.695793,13.580039,4.094363,17.439578,64.88602
BEA,Haas F1 Team,317,14.826498,0.946372,18.611987,65.615142,16.245178,1.060752,18.85487,63.839199
ANT,Mercedes,305,14.098361,1.311475,19.672131,64.918033,14.991567,1.253012,19.081927,64.673494
HUL,Kick Sauber,310,16.774194,1.612903,16.774194,64.83871,16.537434,1.583154,16.732782,65.14663
RUS,Mercedes,310,15.16129,2.258065,17.741935,64.83871,14.419903,2.088592,18.444175,65.04733
HAM,Ferrari,313,14.376997,0.0,21.086262,64.536741,14.462404,0.0,21.649904,63.887692
ALB,Williams,306,14.052288,0.326797,21.24183,64.379085,14.832431,0.240845,20.475428,64.451296
OCO,Haas F1 Team,317,16.403785,1.577287,17.665615,64.353312,14.687198,1.304348,18.839372,65.169082
PIA,McLaren,311,13.18328,0.321543,22.186495,64.308682,14.305353,0.340633,21.364964,63.989051
GAS,Alpine,320,15.3125,2.5,18.4375,63.75,14.79329,2.400307,19.021146,63.785257
LEC,Ferrari,314,14.649682,0.0,22.292994,63.057325,13.780056,0.0,21.37305,64.846894
SAI,Williams,315,14.603175,2.539683,20.31746,62.539683,13.794766,2.362613,19.379453,64.463168
COL,Alpine,323,15.789474,1.857585,21.671827,60.681115,14.797136,1.95704,22.146778,61.099045
