rank,driver,team,driver_number,lap,phase,lap_time_s,gap_to_fastest_s,sector_1_s,sector_2_s,sector_3_s,i1_speed_kph,i2_speed_kph,speed_trap_kph,fastest_lap_max_speed_kph,compound,is_pit_out_lap,role
1,VER,Red Bull Racing,1,17,Q3,82.207,0.0,16.858,35.71,29.639,295.0,323.0,330.0,331.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
2,NOR,McLaren,4,16,Q3,82.408,0.201,16.908,35.89,29.61,293.0,321.0,327.0,329.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
3,PIA,McLaren,81,16,Q3,82.437,0.23,16.919,35.93,29.588,293.0,321.0,327.0,328.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
4,RUS,Mercedes,63,17,Q3,82.645,0.438,16.918,35.898,29.829,295.0,323.0,330.0,331.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
5,LEC,Ferrari,16,17,Q3,82.73,0.523,16.987,35.823,29.92,291.0,321.0,326.0,328.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
6,ALO,Aston Martin,14,11,Q2,82.861,0.654,16.922,35.984,29.955,295.0,324.0,329.0,330.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
7,BOR,Kick Sauber,5,14,Q2,82.874,0.667,17.031,35.968,29.875,291.0,322.0,327.0,329.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
8,ANT,Mercedes,12,5,Q1,82.894,0.687,16.957,35.946,29.991,295.0,324.0,330.0,331.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
9,OCO,Haas F1 Team,31,17,Q3,82.913,0.706,17.066,36.006,29.841,294.0,320.0,326.0,327.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
10,HAD,Racing Bulls,6,11,Q2,82.997,0.79,17.019,36.034,29.944,292.0,322.0,328.0,329.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
11,TSU,Red Bull Racing,22,11,Q2,83.034,0.827,17.007,35.801,30.226,295.0,324.0,332.0,333.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
12,BEA,Haas F1 Team,87,10,Q2,83.041,0.834,17.005,36.102,29.934,294.0,320.0,326.0,327.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
13,SAI,Williams,55,11,Q2,83.042,0.835,16.915,35.92,30.207,293.0,320.0,326.0,328.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
14,LAW,Racing Bulls,30,13,Q2,83.077,0.87,17.013,36.073,29.991,292.0,322.0,328.0,329.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
15,STR,Aston Martin,18,14,Q2,83.097,0.89,16.955,36.021,30.121,294.0,321.0,327.0,330.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
16,HAM,Ferrari,44,5,Q1,83.394,1.187,17.18,36.143,30.071,289.0,321.0,325.0,326.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
17,ALB,Williams,23,5,Q1,83.416,1.209,16.982,36.131,30.303,292.0,319.0,325.0,327.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
18,HUL,Kick Sauber,27,8,Q1,83.45,1.243,17.129,36.191,30.13,292.0,324.0,330.0,331.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
19,GAS,Alpine,10,8,Q1,83.468,1.261,17.05,36.078,30.34,294.0,322.0,328.0,329.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
20,COL,Alpine,43,8,Q1,83.89,1.683,17.124,36.288,30.478,295.0,322.0,328.0,329.0,SOFT,False,whole_session_fastest_accurate_push_lap_with_external_phase
