driver,team,rank,mean_lap_s,lap,lap_time_s,stint,compound,tyre_age,stint_jitter,deleted_marker
NOR,McLaren,1,88.485151,2,89.892998,1,MEDIUM,2.0,-0.22,False
NOR,McLaren,1,88.485151,3,89.860001,1,MEDIUM,3.0,-0.22,False
NOR,McLaren,1,88.485151,4,89.841003,1,MEDIUM,4.0,-0.22,False
NOR,McLaren,1,88.485151,5,89.818001,1,MEDIUM,5.0,-0.22,False
NOR,McLaren,1,88.485151,6,89.82,1,MEDIUM,6.0,-0.22,False
NOR,McLaren,1,88.485151,7,89.817001,1,MEDIUM,7.0,-0.22,False
NOR,McLaren,1,88.485151,8,89.510002,1,MEDIUM,8.0,-0.22,False
NOR,McLaren,1,88.485151,9,89.527,1,MEDIUM,9.0,-0.22,False
NOR,McLaren,1,88.485151,10,89.635002,1,MEDIUM,10.0,-0.22,False
NOR,McLaren,1,88.485151,11,89.820999,1,MEDIUM,11.0,-0.22,False
NOR,McLaren,1,88.485151,12,89.681999,1,MEDIUM,12.0,-0.22,False
NOR,McLaren,1,88.485151,13,89.745003,1,MEDIUM,13.0,-0.22,False
NOR,McLaren,1,88.485151,14,90.060997,1,MEDIUM,14.0,-0.22,False
NOR,McLaren,1,88.485151,15,89.589996,1,MEDIUM,15.0,-0.22,False
NOR,McLaren,1,88.485151,18,89.958,2,HARD,2.0,0.0,False
NOR,McLaren,1,88.485151,19,89.681,2,HARD,3.0,0.0,False
NOR,McLaren,1,88.485151,20,89.528,2,HARD,4.0,0.0,False
NOR,McLaren,1,88.485151,21,89.133003,2,HARD,5.0,0.0,False
NOR,McLaren,1,88.485151,22,88.983002,2,HARD,6.0,0.0,False
NOR,McLaren,1,88.485151,23,88.828003,2,HARD,7.0,0.0,False
NOR,McLaren,1,88.485151,24,88.875,2,HARD,8.0,0.0,False
NOR,McLaren,1,88.485151,25,88.355003,2,HARD,9.0,0.0,False
NOR,McLaren,1,88.485151,26,88.486,2,HARD,10.0,0.0,False
NOR,McLaren,1,88.485151,27,87.998001,2,HARD,11.0,0.0,False
NOR,McLaren,1,88.485151,28,88.202003,2,HARD,12.0,0.0,False
NOR,McLaren,1,88.485151,29,88.132004,2,HARD,13.0,0.0,False
NOR,McLaren,1,88.485151,30,88.066002,2,HARD,14.0,0.0,False
NOR,McLaren,1,88.485151,31,88.153,2,HARD,15.0,0.0,False
NOR,McLaren,1,88.485151,32,88.374001,2,HARD,16.0,0.0,False
NOR,McLaren,1,88.485151,33,88.081001,2,HARD,17.0,0.0,False
NOR,McLaren,1,88.485151,34,88.108002,2,HARD,18.0,0.0,False
NOR,McLaren,1,88.485151,35,87.971001,2,HARD,19.0,0.0,False
NOR,McLaren,1,88.485151,36,87.841003,2,HARD,20.0,0.0,False
NOR,McLaren,1,88.485151,37,87.814003,2,HARD,21.0,0.0,False
NOR,McLaren,1,88.485151,38,87.998001,2,HARD,22.0,0.0,False
NOR,McLaren,1,88.485151,39,88.068001,2,HARD,23.0,0.0,False
NOR,McLaren,1,88.485151,42,88.191002,3,HARD,2.0,0.22,False
NOR,McLaren,1,88.485151,43,87.829002,3,HARD,3.0,0.22,False
NOR,McLaren,1,88.485151,44,86.834,3,HARD,4.0,0.22,False
NOR,McLaren,1,88.485151,45,86.953003,3,HARD,5.0,0.22,False
NOR,McLaren,1,88.485151,46,87.073997,3,HARD,6.0,0.22,False
NOR,McLaren,1,88.485151,47,86.866997,3,HARD,7.0,0.22,False
NOR,McLaren,1,88.485151,48,86.818001,3,HARD,8.0,0.22,False
NOR,McLaren,1,88.485151,49,86.906998,3,HARD,9.0,0.22,False
NOR,McLaren,1,88.485151,50,86.968002,3,HARD,10.0,0.22,False
NOR,McLaren,1,88.485151,51,87.277,3,HARD,11.0,0.22,False
NOR,McLaren,1,88.485151,52,86.894997,3,HARD,12.0,0.22,False
NOR,McLaren,1,88.485151,53,87.080002,3,HARD,13.0,0.22,False
NOR,McLaren,1,88.485151,54,87.143997,3,HARD,14.0,0.22,False
NOR,McLaren,1,88.485151,55,87.974998,3,HARD,15.0,0.22,False
NOR,McLaren,1,88.485151,56,88.225998,3,HARD,16.0,0.22,False
NOR,McLaren,1,88.485151,57,88.434998,3,HARD,17.0,0.22,False
NOR,McLaren,1,88.485151,58,88.987,3,HARD,18.0,0.22,False
LEC,Ferrari,2,88.594377,2,90.086998,1,MEDIUM,2.0,-0.22,False
LEC,Ferrari,2,88.594377,3,89.681,1,MEDIUM,3.0,-0.22,False
LEC,Ferrari,2,88.594377,4,89.943001,1,MEDIUM,4.0,-0.22,False
LEC,Ferrari,2,88.594377,5,90.061996,1,MEDIUM,5.0,-0.22,False
LEC,Ferrari,2,88.594377,6,89.738998,1,MEDIUM,6.0,-0.22,False
LEC,Ferrari,2,88.594377,7,89.670998,1,MEDIUM,7.0,-0.22,False
LEC,Ferrari,2,88.594377,8,89.606003,1,MEDIUM,8.0,-0.22,False
LEC,Ferrari,2,88.594377,9,89.653999,1,MEDIUM,9.0,-0.22,True
LEC,Ferrari,2,88.594377,10,89.629997,1,MEDIUM,10.0,-0.22,False
LEC,Ferrari,2,88.594377,11,89.908997,1,MEDIUM,11.0,-0.22,False
LEC,Ferrari,2,88.594377,12,90.056999,1,MEDIUM,12.0,-0.22,False
LEC,Ferrari,2,88.594377,13,89.938004,1,MEDIUM,13.0,-0.22,False
LEC,Ferrari,2,88.594377,14,90.054001,1,MEDIUM,14.0,-0.22,False
LEC,Ferrari,2,88.594377,15,89.998001,1,MEDIUM,15.0,-0.22,False
LEC,Ferrari,2,88.594377,18,89.872002,2,HARD,2.0,0.0,False
LEC,Ferrari,2,88.594377,19,89.528999,2,HARD,3.0,0.0,False
LEC,Ferrari,2,88.594377,20,89.255997,2,HARD,4.0,0.0,False
LEC,Ferrari,2,88.594377,21,89.055,2,HARD,5.0,0.0,False
LEC,Ferrari,2,88.594377,22,88.890999,2,HARD,6.0,0.0,False
LEC,Ferrari,2,88.594377,23,89.595001,2,HARD,7.0,0.0,False
LEC,Ferrari,2,88.594377,24,89.018997,2,HARD,8.0,0.0,False
LEC,Ferrari,2,88.594377,25,88.170998,2,HARD,9.0,0.0,False
LEC,Ferrari,2,88.594377,26,88.043999,2,HARD,10.0,0.0,False
LEC,Ferrari,2,88.594377,27,88.098,2,HARD,11.0,0.0,False
LEC,Ferrari,2,88.594377,28,88.149002,2,HARD,12.0,0.0,False
LEC,Ferrari,2,88.594377,29,88.390999,2,HARD,13.0,0.0,False
LEC,Ferrari,2,88.594377,30,88.471001,2,HARD,14.0,0.0,False
LEC,Ferrari,2,88.594377,31,88.547997,2,HARD,15.0,0.0,False
LEC,Ferrari,2,88.594377,32,88.853996,2,HARD,16.0,0.0,False
LEC,Ferrari,2,88.594377,33,88.664001,2,HARD,17.0,0.0,False
LEC,Ferrari,2,88.594377,34,88.580002,2,HARD,18.0,0.0,False
LEC,Ferrari,2,88.594377,35,88.453003,2,HARD,19.0,0.0,False
LEC,Ferrari,2,88.594377,36,88.303001,2,HARD,20.0,0.0,False
LEC,Ferrari,2,88.594377,37,88.349998,2,HARD,21.0,0.0,False
LEC,Ferrari,2,88.594377,38,88.152,2,HARD,22.0,0.0,False
LEC,Ferrari,2,88.594377,41,88.125,3,MEDIUM,5.0,0.22,False
LEC,Ferrari,2,88.594377,42,87.268997,3,MEDIUM,6.0,0.22,False
LEC,Ferrari,2,88.594377,43,86.918999,3,MEDIUM,7.0,0.22,False
LEC,Ferrari,2,88.594377,44,86.847,3,MEDIUM,8.0,0.22,False
LEC,Ferrari,2,88.594377,45,86.724998,3,MEDIUM,9.0,0.22,False
LEC,Ferrari,2,88.594377,46,86.856003,3,MEDIUM,10.0,0.22,False
LEC,Ferrari,2,88.594377,47,86.973999,3,MEDIUM,11.0,0.22,False
LEC,Ferrari,2,88.594377,48,86.845001,3,MEDIUM,12.0,0.22,False
LEC,Ferrari,2,88.594377,49,86.935997,3,MEDIUM,13.0,0.22,False
LEC,Ferrari,2,88.594377,50,87.212997,3,MEDIUM,14.0,0.22,False
LEC,Ferrari,2,88.594377,51,87.375999,3,MEDIUM,15.0,0.22,False
LEC,Ferrari,2,88.594377,52,87.550003,3,MEDIUM,16.0,0.22,True
LEC,Ferrari,2,88.594377,53,89.004997,3,MEDIUM,17.0,0.22,False
LEC,Ferrari,2,88.594377,54,88.291,3,MEDIUM,18.0,0.22,False
LEC,Ferrari,2,88.594377,55,88.195,3,MEDIUM,19.0,0.22,False
LEC,Ferrari,2,88.594377,56,87.463997,3,MEDIUM,20.0,0.22,False
LEC,Ferrari,2,88.594377,57,88.165001,3,MEDIUM,21.0,0.22,False
LEC,Ferrari,2,88.594377,58,88.273003,3,MEDIUM,22.0,0.22,False
VER,Red Bull Racing,3,88.645528,2,89.116997,1,MEDIUM,2.0,-0.11,False
VER,Red Bull Racing,3,88.645528,3,89.555,1,MEDIUM,3.0,-0.11,False
VER,Red Bull Racing,3,88.645528,4,89.563004,1,MEDIUM,4.0,-0.11,False
VER,Red Bull Racing,3,88.645528,5,89.695,1,MEDIUM,5.0,-0.11,False
VER,Red Bull Racing,3,88.645528,6,89.772003,1,MEDIUM,6.0,-0.11,False
VER,Red Bull Racing,3,88.645528,7,89.744003,1,MEDIUM,7.0,-0.11,False
VER,Red Bull Racing,3,88.645528,8,89.600998,1,MEDIUM,8.0,-0.11,False
VER,Red Bull Racing,3,88.645528,9,89.413002,1,MEDIUM,9.0,-0.11,False
VER,Red Bull Racing,3,88.645528,10,89.464996,1,MEDIUM,10.0,-0.11,False
VER,Red Bull Racing,3,88.645528,11,89.538002,1,MEDIUM,11.0,-0.11,False
VER,Red Bull Racing,3,88.645528,12,89.542999,1,MEDIUM,12.0,-0.11,False
VER,Red Bull Racing,3,88.645528,13,89.633003,1,MEDIUM,13.0,-0.11,False
VER,Red Bull Racing,3,88.645528,14,89.526001,1,MEDIUM,14.0,-0.11,False
VER,Red Bull Racing,3,88.645528,15,89.703003,1,MEDIUM,15.0,-0.11,False
VER,Red Bull Racing,3,88.645528,16,89.459999,1,MEDIUM,16.0,-0.11,False
VER,Red Bull Racing,3,88.645528,17,89.578003,1,MEDIUM,17.0,-0.11,False
VER,Red Bull Racing,3,88.645528,18,89.596001,1,MEDIUM,18.0,-0.11,False
VER,Red Bull Racing,3,88.645528,19,89.613998,1,MEDIUM,19.0,-0.11,False
VER,Red Bull Racing,3,88.645528,20,89.556999,1,MEDIUM,20.0,-0.11,False
VER,Red Bull Racing,3,88.645528,21,89.441002,1,MEDIUM,21.0,-0.11,False
VER,Red Bull Racing,3,88.645528,22,89.242996,1,MEDIUM,22.0,-0.11,False
VER,Red Bull Racing,3,88.645528,25,88.693001,2,HARD,2.0,0.11,False
VER,Red Bull Racing,3,88.645528,26,88.311996,2,HARD,3.0,0.11,False
VER,Red Bull Racing,3,88.645528,27,88.327003,2,HARD,4.0,0.11,False
VER,Red Bull Racing,3,88.645528,28,88.371002,2,HARD,5.0,0.11,False
VER,Red Bull Racing,3,88.645528,29,88.002998,2,HARD,6.0,0.11,False
VER,Red Bull Racing,3,88.645528,30,88.049004,2,HARD,7.0,0.11,False
VER,Red Bull Racing,3,88.645528,31,87.844002,2,HARD,8.0,0.11,False
VER,Red Bull Racing,3,88.645528,32,87.801003,2,HARD,9.0,0.11,False
VER,Red Bull Racing,3,88.645528,33,87.908997,2,HARD,10.0,0.11,False
VER,Red Bull Racing,3,88.645528,34,87.924004,2,HARD,11.0,0.11,False
VER,Red Bull Racing,3,88.645528,35,87.981003,2,HARD,12.0,0.11,False
VER,Red Bull Racing,3,88.645528,36,87.809998,2,HARD,13.0,0.11,False
VER,Red Bull Racing,3,88.645528,37,87.745003,2,HARD,14.0,0.11,False
VER,Red Bull Racing,3,88.645528,38,87.750999,2,HARD,15.0,0.11,False
VER,Red Bull Racing,3,88.645528,39,87.625,2,HARD,16.0,0.11,False
VER,Red Bull Racing,3,88.645528,40,88.141998,2,HARD,17.0,0.11,False
VER,Red Bull Racing,3,88.645528,41,87.973,2,HARD,18.0,0.11,False
VER,Red Bull Racing,3,88.645528,42,88.220001,2,HARD,19.0,0.11,False
VER,Red Bull Racing,3,88.645528,43,87.934998,2,HARD,20.0,0.11,False
VER,Red Bull Racing,3,88.645528,44,87.892998,2,HARD,21.0,0.11,False
VER,Red Bull Racing,3,88.645528,45,87.751999,2,HARD,22.0,0.11,True
VER,Red Bull Racing,3,88.645528,46,87.960999,2,HARD,23.0,0.11,False
VER,Red Bull Racing,3,88.645528,47,87.871002,2,HARD,24.0,0.11,False
VER,Red Bull Racing,3,88.645528,48,87.818001,2,HARD,25.0,0.11,False
VER,Red Bull Racing,3,88.645528,49,87.75,2,HARD,26.0,0.11,False
VER,Red Bull Racing,3,88.645528,50,87.986,2,HARD,27.0,0.11,False
VER,Red Bull Racing,3,88.645528,51,87.983002,2,HARD,28.0,0.11,True
VER,Red Bull Racing,3,88.645528,52,88.455002,2,HARD,29.0,0.11,False
VER,Red Bull Racing,3,88.645528,53,88.394997,2,HARD,30.0,0.11,False
VER,Red Bull Racing,3,88.645528,54,88.175003,2,HARD,31.0,0.11,False
