rank,driver,team,lap,lap_time_s,sector_1_s,sector_2_s,sector_3_s,i1_speed_kph,i2_speed_kph,speed_trap_kph
1,LEC,Ferrari,45,86.725,17.525,37.608,31.592,290.0,297.0,305.0
2,PIA,McLaren,44,86.765,17.512,37.82,31.433,291.0,295.0,303.0
3,NOR,McLaren,48,86.818,17.341,37.75,31.727,292.0,295.0,303.0
4,HUL,Kick Sauber,46,87.05,17.632,37.535,31.883,293.0,306.0,327.0
5,VER,Red Bull Racing,39,87.625,17.51,38.035,32.08,289.0,300.0,305.0
6,STR,Aston Martin,52,87.626,17.706,37.622,32.298,288.0,323.0,325.0
7,COL,Alpine,42,87.71,17.697,37.973,32.04,290.0,293.0,301.0
8,GAS,Alpine,46,87.767,17.666,37.997,32.104,287.0,292.0,304.0
9,ANT,Mercedes,34,88.029,17.775,37.908,32.346,288.0,298.0,305.0
10,HAM,Ferrari,36,88.094,17.874,37.875,32.345,284.0,295.0,336.0
11,ALO,Aston Martin,54,88.279,17.611,38.419,32.249,291.0,292.0,299.0
12,ALB,Williams,45,88.367,17.67,37.88,32.817,292.0,306.0,315.0
13,TSU,Red Bull Racing,44,88.557,17.693,37.915,32.949,292.0,305.0,337.0
14,RUS,Mercedes,57,88.599,17.616,38.18,32.803,292.0,305.0,313.0
15,OCO,Haas F1 Team,56,88.655,17.6,38.307,32.748,295.0,296.0,307.0
16,LAW,Racing Bulls,39,88.886,17.739,38.231,32.916,292.0,323.0,301.0
17,BEA,Haas F1 Team,50,88.976,17.727,38.33,32.919,291.0,298.0,314.0
18,SAI,Williams,51,89.052,17.757,38.024,33.271,293.0,320.0,315.0
19,BOR,Kick Sauber,47,89.114,17.894,38.341,32.879,291.0,300.0,310.0
20,HAD,Racing Bulls,52,89.375,17.891,38.615,32.869,289.0,305.0,306.0
