driver,team,stint_number,compound,lap_start,lap_end,tyre_age_at_start,fresh_tyre_proxy
ALB,Williams,1,SOFT,1,8,0,True
ALB,Williams,2,HARD,9,33,0,True
ALB,Williams,3,MEDIUM,34,58,0,True
ALO,Aston Martin,1,MEDIUM,1,16,1,False
ALO,Aston Martin,2,HARD,17,58,1,False
ANT,Mercedes,1,HARD,1,32,0,True
ANT,Mercedes,2,MEDIUM,33,58,0,True
BEA,Haas F1 Team,1,MEDIUM,1,14,0,True
BEA,Haas F1 Team,2,HARD,15,58,0,True
BOR,Kick Sauber,1,MEDIUM,1,15,0,True
BOR,Kick Sauber,2,HARD,16,58,0,True
COL,Alpine,1,MEDIUM,1,15,0,True
COL,Alpine,2,HARD,16,40,0,True
COL,Alpine,3,MEDIUM,41,57,0,True
GAS,Alpine,1,MEDIUM,1,13,0,True
GAS,Alpine,2,HARD,14,40,0,True
GAS,Alpine,3,MEDIUM,41,57,3,False
HAD,Racing Bulls,1,MEDIUM,1,14,0,True
HAD,Racing Bulls,2,HARD,15,57,0,True
HAM,Ferrari,1,SOFT,1,8,0,True
HAM,Ferrari,2,HARD,9,31,0,True
HAM,Ferrari,3,MEDIUM,32,58,0,True
HUL,Kick Sauber,1,SOFT,1,7,0,True
HUL,Kick Sauber,2,HARD,8,42,0,True
HUL,Kick Sauber,3,MEDIUM,43,58,0,True
LAW,Racing Bulls,1,MEDIUM,1,21,0,True
LAW,Racing Bulls,2,HARD,22,57,0,True
LEC,Ferrari,1,MEDIUM,1,16,0,True
LEC,Ferrari,2,HARD,17,39,0,True
LEC,Ferrari,3,MEDIUM,40,58,3,False
NOR,McLaren,1,MEDIUM,1,16,0,True
NOR,McLaren,2,HARD,17,40,0,True
NOR,McLaren,3,HARD,41,58,0,True
OCO,Haas F1 Team,1,MEDIUM,1,19,0,True
OCO,Haas F1 Team,2,HARD,20,58,0,True
PIA,McLaren,1,HARD,1,41,0,True
PIA,McLaren,2,MEDIUM,42,58,0,True
RUS,Mercedes,1,MEDIUM,1,14,0,True
RUS,Mercedes,2,HARD,15,58,0,True
SAI,Williams,1,MEDIUM,1,18,0,True
SAI,Williams,2,HARD,19,58,0,True
STR,Aston Martin,1,HARD,1,42,1,False
STR,Aston Martin,2,MEDIUM,43,58,0,True
TSU,Red Bull Racing,1,HARD,1,32,0,True
TSU,Red Bull Racing,2,MEDIUM,33,58,0,True
VER,Red Bull Racing,1,MEDIUM,1,23,0,True
VER,Red Bull Racing,2,HARD,24,58,0,True
