axis_index,driver,team,lap,stint,compound,tyre_age,position,lap_duration_s,lap_length_m,telemetry_samples,observed_time_s,telemetry_coverage,sample_full_throttle_share,time_full_throttle_share,time_brake_share,time_drs_share,lap_speed_p99_kph,lap_speed_max_kph,lap_speed_median_kph,axis_reconstructed_time_s,axis_time_error_s,deleted,is_accurate,green_or_yellow,pace_eligible,acceleration_150_250_kph_per_100m,straight_max_speed_kph,straight_full_throttle_distance_share,traffic_ratio,traffic_missing_share,traffic_observed_time_s,lap_fraction,clean_air_share,candidate_weight,audited_candidate
0,ALB,Williams,2,1,SOFT,2.0,15,91.70999908447266,5182.279312793732,697,91.83599972724915,1.0,0.4519368723098996,0.45462552333619466,0.19600151667198049,0.16551242324071688,338.03999999999996,341.0,206.0,91.63337659160138,-0.0766224928712802,False,True,True,True,47.62186728267543,340.9355163574219,0.8527144575485536,1.0,0.0,91.83599972724915,0.034482758620689655,0.0,0.0,False
1,ALB,Williams,3,1,SOFT,3.0,15,90.2239990234375,5172.1253894686715,688,90.35700225830078,1.0,0.48255813953488375,0.48693518622343673,0.2036365522647329,0.1717520359447933,333.04658386230466,334.0,215.7903823852539,89.83014109161746,-0.3938579318200368,False,True,True,True,45.77446150884949,333.98736572265625,0.8912519069412662,1.0,0.0,90.35700225830078,0.05172413793103448,0.0,0.0,False
2,ALB,Williams,4,1,SOFT,4.0,15,90.8740005493164,5196.786679875553,679,91.00799989700317,1.0,0.4698085419734904,0.45769608273778595,0.20960790198309567,0.17011689588964723,335.06116333007816,336.0,217.41354370117188,90.61664017534255,-0.25736037397385303,False,True,True,True,45.477241803931825,336.0,0.8998595464413542,1.0,0.0,91.00799989700317,0.06896551724137931,0.0,0.0,False
3,ALB,Williams,5,1,SOFT,5.0,15,90.31400299072266,5166.369867339195,684,90.44000244140625,1.0,0.4868421052631579,0.4932110285071425,0.20787267195494036,0.17428125605273156,331.710305480957,332.0,213.16429138183594,90.07235299284233,-0.24164999788033015,False,True,True,True,44.4449451443791,332.0,0.908914950419527,1.0,0.0,90.44000244140625,0.08620689655172414,0.0,0.0,False
4,ALB,Williams,6,1,SOFT,6.0,15,90.2229995727539,5194.895526159764,670,90.35599517822266,1.0,0.4955223880597015,0.487980835806143,0.1907566450277,0.16734918549057215,335.2983731079101,339.0,218.89552307128906,89.98326648006588,-0.23973309268802723,False,True,True,True,46.088271684796354,338.9291076660156,0.8862575544211699,1.0,0.0,90.35599517822266,0.10344827586206896,0.0,0.0,False
5,ALB,Williams,7,1,SOFT,7.0,15,90.41999816894531,5187.922824577727,679,90.55199813842773,1.0,0.49042709867452133,0.4716405449222192,0.18728481190418786,0.17669407894113248,337.0,339.0,218.0,90.20955571117796,-0.21044245776735693,False,True,True,True,40.05331887301198,339.0,0.8959572845156369,1.0,0.0,90.55199813842773,0.1206896551724138,0.0,0.0,False
6,ALB,Williams,10,2,HARD,2.0,20,89.3740005493164,5210.508554794789,694,89.50600051879883,1.0,0.4942363112391931,0.4837552578027598,0.17698255118884634,0.0,312.19549346923833,314.0,226.84500122070312,89.18130791408963,-0.19269263522677704,False,True,True,True,41.6332208965099,314.0,0.9520356598016781,1.0,0.0,89.50600051879883,0.1724137931034483,0.0,0.0,False
7,ALB,Williams,11,2,HARD,3.0,20,89.80699920654297,5210.843732625916,694,89.93399810791016,1.0,0.46829971181556196,0.46427373310216835,0.17570674485522314,0.0,313.0,314.0,222.2154998779297,89.59917475538246,-0.20782445116050496,False,True,True,True,39.918005715385476,314.0,0.9012395118230359,0.948840282633893,0.0,89.93399810791016,0.1896551724137931,0.05115971736610703,0.0026173166809799527,False
8,ALB,Williams,12,2,HARD,4.0,20,89.45999908447266,5210.863225111201,675,89.58799934387207,1.0,0.4948148148148148,0.4860806427297406,0.169207834172484,0.0,313.0,314.0,223.0,89.39066212042552,-0.06933696404713885,False,True,True,True,34.844998856489354,313.91815185546875,0.9438215102974828,0.6212886108603182,0.0,89.58799934387207,0.20689655172413793,0.37871138913968183,0.1434223162641075,False
9,ALB,Williams,13,2,HARD,5.0,20,89.69200134277344,5190.850319431424,657,89.82099914550781,1.0,0.5098934550989346,0.48211449742538404,0.17100671690555472,0.0,314.0341064453125,315.0,227.0,89.41264625038366,-0.2793550923897783,False,True,True,True,45.8936825388473,315.0,0.9473302822273074,0.046859878027876965,0.0,89.82099914550781,0.22413793103448276,0.9531401219721231,0.9084760921130336,True
