team,left_driver,right_driver,left_lap,right_lap,compound,left_tyre_age,right_tyre_age,left_lap_fraction,right_lap_fraction,left_traffic_ratio,right_traffic_ratio,assignment_cost,pair_weight
Alpine,COL,GAS,14,12,MEDIUM,14.0,12.0,0.2413793103448276,0.20689655172413793,0.0,0.0,1.2873563218390807,1.0
Alpine,COL,GAS,17,15,HARD,2.0,2.0,0.29310344827586204,0.25862068965517243,0.0,0.0,0.2873563218390801,1.0
Alpine,COL,GAS,18,16,HARD,3.0,3.0,0.3103448275862069,0.27586206896551724,0.0,0.021047703001614446,0.4276743418498436,0.9789522969983856
Alpine,COL,GAS,19,17,HARD,4.0,4.0,0.3275862068965517,0.29310344827586204,0.0,0.0,0.2873563218390806,1.0
Alpine,COL,GAS,20,18,HARD,5.0,5.0,0.3448275862068966,0.3103448275862069,0.0,0.0,0.2873563218390806,1.0
Alpine,COL,GAS,24,23,HARD,9.0,10.0,0.41379310344827586,0.39655172413793105,0.0,0.05643287169856881,1.0198973055766656,0.9435671283014312
Alpine,COL,GAS,27,25,HARD,12.0,12.0,0.46551724137931033,0.43103448275862066,0.0,0.0,0.2873563218390806,1.0
Alpine,COL,GAS,28,26,HARD,13.0,13.0,0.4827586206896552,0.4482758620689655,0.0,0.0,0.2873563218390806,1.0
Alpine,COL,GAS,30,28,HARD,15.0,15.0,0.5172413793103449,0.4827586206896552,0.0,0.0,0.2873563218390806,1.0
Alpine,COL,GAS,31,29,HARD,16.0,16.0,0.5344827586206896,0.5,0.0,0.0,0.2873563218390801,1.0
Alpine,COL,GAS,32,30,HARD,17.0,17.0,0.5517241379310345,0.5172413793103449,0.0821188117720223,0.0,0.8348150669858955,0.9178811882279777
Alpine,COL,GAS,33,31,HARD,18.0,18.0,0.5689655172413793,0.5344827586206896,0.11666798735137618,0.0,1.065142904181589,0.8833320126486238
Alpine,COL,GAS,34,32,HARD,19.0,19.0,0.5862068965517241,0.5517241379310345,0.11555880647406308,0.00975236283895133,0.9927326127398252,0.8758158020969568
Alpine,COL,GAS,46,43,MEDIUM,6.0,6.0,0.7931034482758621,0.7413793103448276,0.0,0.0,0.43103448275862066,1.0
Alpine,COL,GAS,47,46,MEDIUM,7.0,9.0,0.8103448275862069,0.7931034482758621,0.0,0.0,1.1436781609195397,1.0
Alpine,COL,GAS,48,45,MEDIUM,8.0,8.0,0.8275862068965517,0.7758620689655172,0.0,0.0,0.43103448275862066,1.0
Alpine,COL,GAS,49,47,MEDIUM,9.0,10.0,0.8448275862068966,0.8103448275862069,0.0,0.0,0.7873563218390811,1.0
Alpine,COL,GAS,50,49,MEDIUM,10.0,12.0,0.8620689655172413,0.8448275862068966,0.0,0.0,1.1436781609195397,1.0
Alpine,COL,GAS,51,48,MEDIUM,11.0,11.0,0.8793103448275862,0.8275862068965517,0.0,0.0,0.43103448275862066,1.0
Alpine,COL,GAS,52,51,MEDIUM,12.0,14.0,0.896551724137931,0.8793103448275862,0.0,0.0,1.1436781609195406,1.0
Alpine,COL,GAS,53,50,MEDIUM,13.0,13.0,0.9137931034482759,0.8620689655172413,0.0,0.0,0.43103448275862155,1.0
Alpine,COL,GAS,54,52,MEDIUM,14.0,15.0,0.9310344827586207,0.896551724137931,0.0,0.0,0.7873563218390801,1.0
Alpine,COL,GAS,55,53,MEDIUM,15.0,16.0,0.9482758620689655,0.9137931034482759,0.0,0.0,0.7873563218390801,1.0
Alpine,COL,GAS,56,55,MEDIUM,16.0,18.0,0.9655172413793104,0.9482758620689655,0.0,0.047004047112111126,1.4570384750002814,0.9529959528878889
Racing Bulls,HAD,LAW,17,23,HARD,3.0,2.0,0.29310344827586204,0.39655172413793105,0.0,0.0,1.3620689655172418,1.0
Racing Bulls,HAD,LAW,18,24,HARD,4.0,3.0,0.3103448275862069,0.41379310344827586,0.0,0.0,1.3620689655172413,1.0
Racing Bulls,HAD,LAW,19,25,HARD,5.0,4.0,0.3275862068965517,0.43103448275862066,0.0036310260384736152,0.0,1.386275805773732,0.9963689739615263
Racing Bulls,HAD,LAW,20,26,HARD,6.0,5.0,0.3448275862068966,0.4482758620689655,0.008096983458405344,0.0,1.4160488552399437,0.9919030165415946
Racing Bulls,HAD,LAW,21,27,HARD,7.0,6.0,0.3620689655172414,0.46551724137931033,0.0,0.0,1.3620689655172413,1.0
Racing Bulls,HAD,LAW,22,28,HARD,8.0,7.0,0.3793103448275862,0.4827586206896552,0.009897906903449018,0.0,1.4280550115402353,0.990102093096551
Racing Bulls,HAD,LAW,35,40,HARD,21.0,19.0,0.603448275862069,0.6896551724137931,0.0,0.031287905104006156,1.9269768386244093,0.9687120948959939
Racing Bulls,HAD,LAW,40,45,HARD,26.0,24.0,0.6896551724137931,0.7758620689655172,0.0,0.09297435251154637,2.3382198213413434,0.9070256474884536
Racing Bulls,HAD,LAW,42,48,HARD,28.0,27.0,0.7241379310344828,0.8275862068965517,0.0,0.0,1.3620689655172413,1.0
Racing Bulls,HAD,LAW,43,49,HARD,29.0,28.0,0.7413793103448276,0.8448275862068966,0.01052784069903111,0.0,1.4322545701774487,0.9894721593009689
