driver,team,stint,compound,candidate_laps,kish_ess,tyre_age_span_laps,lap_range,traffic_ratio_mean,fuel_scenario_lap_time_s_per_tyre_lap,median_speed_kph_per_tyre_lap,status,role
ALB,Williams,2,HARD,4,3.9580729140061615,10.0,"[13, 23]",0.07864099233340743,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
ALB,Williams,3,MEDIUM,9,8.950887314477468,21.0,"[35, 56]",0.02471139845546827,"{'public_2026': 0.05113456872520765, 'v17_low': 0.050168568725208224, 'v17_base': 0.0708585687252081, 'v17_high': 0.09499656872520798}",-0.35286045982724146,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
ALO,Aston Martin,1,MEDIUM,2,1.9905589980320755,6.0,"[9, 15]",0.03332631453412398,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
ALO,Aston Martin,2,HARD,32,31.853235274317104,40.0,"[18, 58]",0.013430400631564447,"{'public_2026': -0.014984883097858944, 'v17_low': -0.015950883097859345, 'v17_base': 0.00473911690214087, 'v17_high': 0.02887711690214082}",0.07142857142857142,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
ANT,Mercedes,2,MEDIUM,10,9.808803119620881,16.0,"[34, 50]",0.04690892112635734,"{'public_2026': 0.08753334554036485, 'v17_low': 0.08656734554036423, 'v17_base': 0.10725734554036516, 'v17_high': 0.1313953455403644}",-0.10188462999131945,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
BEA,Haas F1 Team,2,HARD,4,4.0,3.0,"[16, 19]",0.0,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
BOR,Kick Sauber,2,HARD,5,4.89871251348173,4.0,"[50, 54]",0.04457036071319399,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
COL,Alpine,1,MEDIUM,1,1.0,0.0,"[14, 14]",0.0,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
COL,Alpine,2,HARD,15,14.895656517537976,17.0,"[17, 34]",0.020956373706497437,"{'public_2026': 0.0456365023526269, 'v17_low': 0.04467050235262801, 'v17_base': 0.0653605023526286, 'v17_high': 0.08949850235262731}",-0.0641161600748698,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
COL,Alpine,3,MEDIUM,15,15.0,14.0,"[42, 56]",0.0,"{'public_2026': 0.08900016021728518, 'v17_low': 0.08803416021728516, 'v17_base': 0.10872416021728526, 'v17_high': 0.13286216021728414}",-0.14821406773158483,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
GAS,Alpine,1,MEDIUM,3,2.9293411520906623,3.0,"[9, 12]",0.05382187405413256,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
GAS,Alpine,2,HARD,16,15.987404355778938,23.0,"[15, 38]",0.006821160208701331,"{'public_2026': 0.06533350590297149, 'v17_low': 0.0643675059029718, 'v17_base': 0.08505750590297148, 'v17_high': 0.10919550590297197}",0.014141356639372996,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
GAS,Alpine,3,MEDIUM,12,11.964296381400505,14.0,"[43, 57]",0.011721873119625007,"{'public_2026': 0.11818831634521487, 'v17_low': 0.11722231634521574, 'v17_base': 0.13791231634521495, 'v17_high': 0.16205031634521294}",-0.47113026512993705,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
HAD,Racing Bulls,1,MEDIUM,1,1.0,0.0,"[13, 13]",0.0,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
HAD,Racing Bulls,2,HARD,15,14.999031763761405,40.0,"[16, 56]",0.002662281034626359,"{'public_2026': 0.017710545590049184, 'v17_low': 0.016744545590049443, 'v17_base': 0.037434545590049446, 'v17_high': 0.061572545590049356}",0.003676470588235294,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
HAM,Ferrari,2,HARD,5,4.999667754161668,4.0,"[10, 14]",0.0020401088165982145,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
HAM,Ferrari,3,MEDIUM,1,1.0,0.0,"[58, 58]",0.04572270871796321,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
HUL,Kick Sauber,3,MEDIUM,2,1.9889852386736924,3.0,"[44, 47]",0.035921677364946454,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
LAW,Racing Bulls,1,MEDIUM,1,1.0,0.0,"[17, 17]",0.0313644447191281,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
LAW,Racing Bulls,2,HARD,25,24.95318970904521,34.0,"[23, 57]",0.007552359745678512,"{'public_2026': 0.01919610486711803, 'v17_low': 0.01823010486711737, 'v17_base': 0.03892010486711785, 'v17_high': 0.0630581048671171}",-0.016696593340705425,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
LEC,Ferrari,2,HARD,10,9.921010812057935,13.0,"[25, 38]",0.01863575737249158,"{'public_2026': -0.007875030517578097, 'v17_low': -0.008841030517578119, 'v17_base': 0.011848969482421978, 'v17_high': 0.03598696948242264}",0.5500302995954242,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
LEC,Ferrari,3,MEDIUM,15,15.0,15.0,"[43, 58]",0.0,"{'public_2026': 0.13833341471354169, 'v17_low': 0.13736741471354227, 'v17_base': 0.15805741471354176, 'v17_high': 0.18219541471354125}",-0.46060596812855115,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
NOR,McLaren,1,MEDIUM,4,3.9973295836771365,3.0,"[12, 15]",0.007462976840749947,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
NOR,McLaren,2,HARD,18,17.89296029584124,19.0,"[20, 39]",0.010748300925985898,"{'public_2026': -0.023749893188476534, 'v17_low': -0.024715893188478333, 'v17_base': -0.004025893188476459, 'v17_high': 0.020112106811520647}",0.0625,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
NOR,McLaren,3,HARD,17,17.0,16.0,"[42, 58]",0.0,"{'public_2026': 0.08307502937316862, 'v17_low': 0.08210902937316877, 'v17_base': 0.10279902937316976, 'v17_high': 0.12693702937316925}",-0.333333564527107,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
OCO,Haas F1 Team,1,MEDIUM,4,3.9990818971079363,3.0,"[15, 18]",0.009026030977656715,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
OCO,Haas F1 Team,2,HARD,5,4.935407524394831,4.0,"[53, 57]",0.029181726869208106,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
PIA,McLaren,1,HARD,22,21.99924532725839,35.0,"[5, 40]",0.0011019711625983913,"{'public_2026': 0.016749794006347685, 'v17_low': 0.015783794006347662, 'v17_base': 0.03647379400634776, 'v17_high': 0.06061179400634664}",-0.014782781186311142,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
PIA,McLaren,2,MEDIUM,13,13.0,12.0,"[43, 55]",0.0,"{'public_2026': 0.11082036481584748, 'v17_low': 0.10985436481584696, 'v17_base': 0.13054436481584883, 'v17_high': 0.15468236481584619}",-0.42911217429421167,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
RUS,Mercedes,1,MEDIUM,4,3.9135926405499686,3.0,"[10, 13]",0.04324529246140764,"{'public_2026': None, 'v17_low': None, 'v17_base': None, 'v17_high': None}",,AUDIT_ONLY_INSUFFICIENT_SUPPORT,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
RUS,Mercedes,2,HARD,33,32.976036580820725,42.0,"[16, 58]",0.0031643781974124343,"{'public_2026': 0.010865016590465185, 'v17_low': 0.009899016590465581, 'v17_base': 0.030589016590465062, 'v17_high': 0.054727016590465166}",0.03310708999633789,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
SAI,Williams,2,HARD,8,7.9561645177429,14.0,"[20, 34]",0.020274764561728574,"{'public_2026': 0.10883436075846001, 'v17_low': 0.10786836075846651, 'v17_base': 0.12855836075846128, 'v17_high': 0.15269636075846432}",-0.27708367241753473,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
STR,Aston Martin,1,HARD,17,16.97194072402518,18.0,"[23, 41]",0.005871787016552856,"{'public_2026': 0.03787777031792482, 'v17_low': 0.036911770317925474, 'v17_base': 0.057601770317925766, 'v17_high': 0.08173977031792612}",-0.05875814878023588,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
TSU,Red Bull Racing,1,HARD,8,7.982179268670557,11.0,"[20, 31]",0.009104296937015803,"{'public_2026': 0.0253162689208987, 'v17_low': 0.02435026892089856, 'v17_base': 0.045040268920899254, 'v17_high': 0.0691782689208992}",-0.08331976996527778,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
TSU,Red Bull Racing,2,MEDIUM,7,6.95216353795198,23.0,"[34, 57]",0.021400695036107135,"{'public_2026': 0.07710002136230472, 'v17_low': 0.07613402136230434, 'v17_base': 0.0968240213623048, 'v17_high': 0.12096202136230474}",-0.12607275921365488,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
VER,Red Bull Racing,1,MEDIUM,21,21.0,20.0,"[2, 22]",0.0,"{'public_2026': 0.028316591898599933, 'v17_low': 0.027350591898600386, 'v17_base': 0.04804059189860037, 'v17_high': 0.07217859189859972}",0.15925417813387782,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
VER,Red Bull Racing,2,HARD,27,26.87374692326588,33.0,"[25, 58]",0.010251056298636452,"{'public_2026': 0.029677464638987038, 'v17_low': 0.02871146463898673, 'v17_base': 0.04940146463898677, 'v17_high': 0.07353946463898674}",-0.02647130629595588,SUPPORTED_CONDITIONAL_PROXY,within_stint_clean_air_theil_sen_named_fuel_scenario_not_physical_tyre_wear
