reference_lap_id,candidate_lap_id,expected_finish_delta_s,actual_finish_delta_s,finish_error_s,max_abs_sector_endpoint_error_s,endpoint_status,condition_status,condition_reasons
Q-VER-L17,Q-NOR-L16,0.201,0.201,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,COMPARABLE_DEFAULT,
Q-VER-L17,Q-PIA-L16,0.23,0.23,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,COMPARABLE_DEFAULT,
Q-VER-L17,Q-RUS-L17,0.438,0.438,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,COMPARABLE_DEFAULT,
Q-VER-L17,Q-LEC-L17,0.523,0.523,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,COMPARABLE_DEFAULT,
Q-VER-L17,R-LEC-L45,4.518,4.518,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,CONDITION_WARNING,WARNING_CROSS_SESSION_COMBINED_CONDITIONS|WARNING_DIFFERENT_COMPOUND|WARNING_TYRE_AGE_OUTSIDE_DEFAULT_SUPPORT
Q-VER-L17,R-PIA-L44,4.558,4.558,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,CONDITION_WARNING,WARNING_CROSS_SESSION_COMBINED_CONDITIONS|WARNING_DIFFERENT_COMPOUND
Q-VER-L17,R-NOR-L48,4.611,4.611,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,CONDITION_WARNING,WARNING_CROSS_SESSION_COMBINED_CONDITIONS|WARNING_DIFFERENT_COMPOUND|WARNING_TYRE_AGE_OUTSIDE_DEFAULT_SUPPORT
Q-VER-L17,R-HUL-L46,4.843,4.843,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,CONDITION_WARNING,WARNING_CROSS_SESSION_COMBINED_CONDITIONS|WARNING_DIFFERENT_COMPOUND
Q-VER-L17,R-VER-L39,5.418,5.418,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,CONDITION_WARNING,WARNING_CROSS_SESSION_COMBINED_CONDITIONS|WARNING_DIFFERENT_COMPOUND|WARNING_TYRE_AGE_OUTSIDE_DEFAULT_SUPPORT
Q-NOR-L16,Q-VER-L17,-0.201,-0.201,0.0,0.0,PASS_EXACT_OFFICIAL_SECTOR_ENDPOINTS,COMPARABLE_DEFAULT,
