lap_id,session,driver,rel_distance,elapsed_s,speed_kph,throttle_pct,brake,gear,drs
Q-VER-L17,Qualifying,VER,0.0,0.0,245.0,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.0025,0.190552,247.67586,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.005,0.378446,251.108663,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.0075,0.564609,254.728507,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.01,0.748658,257.186576,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.0125,0.930583,259.885929,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.015,1.110105,263.001743,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0175,1.287846,265.723073,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.02,1.46357,267.919626,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0225,1.639157,270.098116,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.025,1.812293,271.953137,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0275,1.98474,273.7474,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.03,2.155712,275.714246,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0325,2.325104,278.360994,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.035,2.493692,280.530768,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0375,2.660974,281.924785,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.04,2.826309,283.628222,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0425,2.991533,285.349306,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.045,3.156675,287.066754,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0475,3.319892,288.698915,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.05,3.482418,289.367828,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0525,3.644788,289.818857,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.055,3.809566,283.7771,58.513999,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0575,3.978153,270.917869,0.0,100.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.06,4.159372,245.179913,0.0,100.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0625,4.35969,225.478232,0.0,100.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.065,4.582301,202.978497,0.0,100.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.0675,4.82287,188.41919,0.0,100.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.07,5.080438,179.296973,0.0,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.0725,5.34361,173.28994,5.680479,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.075,5.618324,168.495664,65.132947,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.0775,5.892413,173.292221,76.096504,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.08,6.160535,178.552818,89.237328,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.0825,6.416432,186.991182,97.078189,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.085,6.663946,194.848652,100.0,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.0875,6.903649,197.0,100.0,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.09,7.132112,209.493784,100.0,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.0925,7.353692,217.061541,100.0,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.095,7.568052,221.451297,100.0,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.0975,7.777364,226.871228,100.0,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.1,7.981739,232.548311,100.0,0.0,5.0,8.0
Q-VER-L17,Qualifying,VER,0.1025,8.182923,236.693843,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.105,8.379823,240.287986,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.1075,8.573816,244.595403,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.11,8.764602,249.146017,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.1125,8.951878,251.018776,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.115,9.139153,252.891535,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.1175,9.324346,254.45288,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.12,9.508708,255.494619,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.1225,9.69232,256.623201,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.125,9.874875,258.280466,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.1275,10.056366,259.414787,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.13,10.237184,260.87184,100.0,0.0,6.0,8.0
Q-VER-L17,Qualifying,VER,0.1325,10.416646,262.833077,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.135,10.594972,265.082866,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1375,10.771025,268.017089,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.14,10.945993,269.579963,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1425,11.120079,270.562991,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.145,11.293472,271.517358,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1475,11.466326,272.318024,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.15,11.63881,273.0,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1525,11.810994,273.0,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.155,11.982973,273.468505,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1575,12.15476,274.0,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.16,12.326286,274.058165,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1625,12.497529,274.669747,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.165,12.668344,275.301324,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1675,12.838657,275.956372,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.17,13.008969,276.61142,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1725,13.179032,277.0,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.175,13.34859,277.482375,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1775,13.517421,279.296384,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.18,13.685403,280.346268,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1825,13.852537,281.938059,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.185,14.018677,284.238977,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1875,14.183612,285.613429,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.19,14.347925,286.491354,100.0,0.0,7.0,8.0
Q-VER-L17,Qualifying,VER,0.1925,14.511777,287.41777,100.0,0.0,7.0,8.0
