lap_id,session,driver,driver_number,team,lap_number,lap_duration_s,sector_times_s,compound,tyre_life,track_status,raw_sample_count,trimmed_sample_count,median_sample_interval_s,approx_sample_hz,distance_role
Q-VER-L17,Qualifying,VER,1,Red Bull Racing,17,82.207,"[16.858, 35.71, 29.639]",SOFT,2.0,1,311,312,0.24,4.167,speed_integrated_relative_distance_proxy
Q-NOR-L16,Qualifying,NOR,4,McLaren,16,82.408,"[16.908, 35.89, 29.61]",SOFT,2.0,1,313,313,0.24,4.167,speed_integrated_relative_distance_proxy
Q-PIA-L16,Qualifying,PIA,81,McLaren,16,82.437,"[16.919, 35.93, 29.588]",SOFT,2.0,1,313,313,0.24,4.167,speed_integrated_relative_distance_proxy
Q-RUS-L17,Qualifying,RUS,63,Mercedes,17,82.645,"[16.918, 35.898, 29.829]",SOFT,2.0,1,312,312,0.24,4.167,speed_integrated_relative_distance_proxy
Q-LEC-L17,Qualifying,LEC,16,Ferrari,17,82.73,"[16.987, 35.823, 29.92]",SOFT,2.0,1,315,316,0.24,4.167,speed_integrated_relative_distance_proxy
R-LEC-L45,Race,LEC,16,Ferrari,45,86.725,"[17.525, 37.608, 31.592]",MEDIUM,9.0,1,331,331,0.24,4.167,speed_integrated_relative_distance_proxy
R-PIA-L44,Race,PIA,81,McLaren,44,86.765,"[17.512, 37.82, 31.433]",MEDIUM,3.0,1,323,323,0.24,4.167,speed_integrated_relative_distance_proxy
R-NOR-L48,Race,NOR,4,McLaren,48,86.818,"[17.341, 37.75, 31.727]",HARD,8.0,1,331,331,0.24,4.167,speed_integrated_relative_distance_proxy
R-HUL-L46,Race,HUL,27,Kick Sauber,46,87.05,"[17.632, 37.535, 31.883]",MEDIUM,4.0,1,323,323,0.24,4.167,speed_integrated_relative_distance_proxy
R-VER-L39,Race,VER,1,Red Bull Racing,39,87.625,"[17.51, 38.035, 32.08]",HARD,16.0,1,320,320,0.241,4.149,speed_integrated_relative_distance_proxy
