reference_lap_id,candidate_lap_id,sector,reference_sector_time_s,candidate_sector_time_s,expected_cumulative_delta_s,actual_cumulative_delta_s,endpoint_error_s,reference_end_rel_distance,candidate_end_rel_distance
Q-VER-L17,Q-NOR-L16,1,16.858,16.908,0.05,0.05,0.0,0.22911844,0.229687431
Q-VER-L17,Q-NOR-L16,2,35.71,35.89,0.23,0.23,0.0,0.675728701,0.675472615
Q-VER-L17,Q-NOR-L16,3,29.639,29.61,0.201,0.201,0.0,1.0,1.0
Q-VER-L17,Q-PIA-L16,1,16.858,16.919,0.061,0.061,0.0,0.22911844,0.229335006
Q-VER-L17,Q-PIA-L16,2,35.71,35.93,0.281,0.281,0.0,0.675728701,0.674710733
Q-VER-L17,Q-PIA-L16,3,29.639,29.588,0.23,0.23,0.0,1.0,1.0
Q-VER-L17,Q-RUS-L17,1,16.858,16.918,0.06,0.06,0.0,0.22911844,0.229699858
Q-VER-L17,Q-RUS-L17,2,35.71,35.898,0.248,0.248,0.0,0.675728701,0.674874017
Q-VER-L17,Q-RUS-L17,3,29.639,29.829,0.438,0.438,0.0,1.0,1.0
Q-VER-L17,Q-LEC-L17,1,16.858,16.987,0.129,0.129,0.0,0.22911844,0.228701446
Q-VER-L17,Q-LEC-L17,2,35.71,35.823,0.242,0.242,0.0,0.675728701,0.674070131
Q-VER-L17,Q-LEC-L17,3,29.639,29.92,0.523,0.523,0.0,1.0,1.0
Q-VER-L17,R-LEC-L45,1,16.858,17.525,0.667,0.667,0.0,0.22911844,0.229913909
Q-VER-L17,R-LEC-L45,2,35.71,37.608,2.565,2.565,0.0,0.675728701,0.675378714
Q-VER-L17,R-LEC-L45,3,29.639,31.592,4.518,4.518,0.0,1.0,1.0
Q-VER-L17,R-PIA-L44,1,16.858,17.512,0.654,0.654,0.0,0.22911844,0.228902115
Q-VER-L17,R-PIA-L44,2,35.71,37.82,2.764,2.764,0.0,0.675728701,0.675041955
Q-VER-L17,R-PIA-L44,3,29.639,31.433,4.558,4.558,0.0,1.0,1.0
Q-VER-L17,R-NOR-L48,1,16.858,17.341,0.483,0.483,0.0,0.22911844,0.229585352
Q-VER-L17,R-NOR-L48,2,35.71,37.75,2.523,2.523,0.0,0.675728701,0.674781713
Q-VER-L17,R-NOR-L48,3,29.639,31.727,4.611,4.611,0.0,1.0,1.0
Q-VER-L17,R-HUL-L46,1,16.858,17.632,0.774,0.774,0.0,0.22911844,0.229754735
Q-VER-L17,R-HUL-L46,2,35.71,37.535,2.599,2.599,0.0,0.675728701,0.675494934
Q-VER-L17,R-HUL-L46,3,29.639,31.883,4.843,4.843,0.0,1.0,1.0
Q-VER-L17,R-VER-L39,1,16.858,17.51,0.652,0.652,0.0,0.22911844,0.229395042
Q-VER-L17,R-VER-L39,2,35.71,38.035,2.977,2.977,0.0,0.675728701,0.675935057
Q-VER-L17,R-VER-L39,3,29.639,32.08,5.418,5.418,0.0,1.0,1.0
Q-NOR-L16,Q-VER-L17,1,16.908,16.858,-0.05,-0.05,0.0,0.229687431,0.22911844
Q-NOR-L16,Q-VER-L17,2,35.89,35.71,-0.23,-0.23,0.0,0.675472615,0.675728701
Q-NOR-L16,Q-VER-L17,3,29.61,29.639,-0.201,-0.201,0.0,1.0,1.0
Q-NOR-L16,Q-PIA-L16,1,16.908,16.919,0.011,0.011,0.0,0.229687431,0.229335006
Q-NOR-L16,Q-PIA-L16,2,35.89,35.93,0.051,0.051,0.0,0.675472615,0.674710733
Q-NOR-L16,Q-PIA-L16,3,29.61,29.588,0.029,0.029,0.0,1.0,1.0
Q-NOR-L16,Q-RUS-L17,1,16.908,16.918,0.01,0.01,0.0,0.229687431,0.229699858
Q-NOR-L16,Q-RUS-L17,2,35.89,35.898,0.018,0.018,0.0,0.675472615,0.674874017
Q-NOR-L16,Q-RUS-L17,3,29.61,29.829,0.237,0.237,0.0,1.0,1.0
Q-NOR-L16,Q-LEC-L17,1,16.908,16.987,0.079,0.079,0.0,0.229687431,0.228701446
Q-NOR-L16,Q-LEC-L17,2,35.89,35.823,0.012,0.012,0.0,0.675472615,0.674070131
Q-NOR-L16,Q-LEC-L17,3,29.61,29.92,0.322,0.322,0.0,1.0,1.0
Q-NOR-L16,R-LEC-L45,1,16.908,17.525,0.617,0.617,0.0,0.229687431,0.229913909
Q-NOR-L16,R-LEC-L45,2,35.89,37.608,2.335,2.335,0.0,0.675472615,0.675378714
Q-NOR-L16,R-LEC-L45,3,29.61,31.592,4.317,4.317,0.0,1.0,1.0
Q-NOR-L16,R-PIA-L44,1,16.908,17.512,0.604,0.604,0.0,0.229687431,0.228902115
Q-NOR-L16,R-PIA-L44,2,35.89,37.82,2.534,2.534,0.0,0.675472615,0.675041955
Q-NOR-L16,R-PIA-L44,3,29.61,31.433,4.357,4.357,0.0,1.0,1.0
Q-NOR-L16,R-NOR-L48,1,16.908,17.341,0.433,0.433,0.0,0.229687431,0.229585352
Q-NOR-L16,R-NOR-L48,2,35.89,37.75,2.293,2.293,0.0,0.675472615,0.674781713
Q-NOR-L16,R-NOR-L48,3,29.61,31.727,4.41,4.41,0.0,1.0,1.0
Q-NOR-L16,R-HUL-L46,1,16.908,17.632,0.724,0.724,0.0,0.229687431,0.229754735
Q-NOR-L16,R-HUL-L46,2,35.89,37.535,2.369,2.369,0.0,0.675472615,0.675494934
Q-NOR-L16,R-HUL-L46,3,29.61,31.883,4.642,4.642,0.0,1.0,1.0
Q-NOR-L16,R-VER-L39,1,16.908,17.51,0.602,0.602,0.0,0.229687431,0.229395042
Q-NOR-L16,R-VER-L39,2,35.89,38.035,2.747,2.747,0.0,0.675472615,0.675935057
Q-NOR-L16,R-VER-L39,3,29.61,32.08,5.217,5.217,0.0,1.0,1.0
Q-PIA-L16,Q-VER-L17,1,16.919,16.858,-0.061,-0.061,0.0,0.229335006,0.22911844
Q-PIA-L16,Q-VER-L17,2,35.93,35.71,-0.281,-0.281,0.0,0.674710733,0.675728701
Q-PIA-L16,Q-VER-L17,3,29.588,29.639,-0.23,-0.23,0.0,1.0,1.0
Q-PIA-L16,Q-NOR-L16,1,16.919,16.908,-0.011,-0.011,0.0,0.229335006,0.229687431
Q-PIA-L16,Q-NOR-L16,2,35.93,35.89,-0.051,-0.051,0.0,0.674710733,0.675472615
Q-PIA-L16,Q-NOR-L16,3,29.588,29.61,-0.029,-0.029,0.0,1.0,1.0
Q-PIA-L16,Q-RUS-L17,1,16.919,16.918,-0.001,-0.001,0.0,0.229335006,0.229699858
Q-PIA-L16,Q-RUS-L17,2,35.93,35.898,-0.033,-0.033,0.0,0.674710733,0.674874017
Q-PIA-L16,Q-RUS-L17,3,29.588,29.829,0.208,0.208,0.0,1.0,1.0
Q-PIA-L16,Q-LEC-L17,1,16.919,16.987,0.068,0.068,0.0,0.229335006,0.228701446
Q-PIA-L16,Q-LEC-L17,2,35.93,35.823,-0.039,-0.039,0.0,0.674710733,0.674070131
Q-PIA-L16,Q-LEC-L17,3,29.588,29.92,0.293,0.293,0.0,1.0,1.0
Q-PIA-L16,R-LEC-L45,1,16.919,17.525,0.606,0.606,0.0,0.229335006,0.229913909
Q-PIA-L16,R-LEC-L45,2,35.93,37.608,2.284,2.284,0.0,0.674710733,0.675378714
Q-PIA-L16,R-LEC-L45,3,29.588,31.592,4.288,4.288,0.0,1.0,1.0
Q-PIA-L16,R-PIA-L44,1,16.919,17.512,0.593,0.593,0.0,0.229335006,0.228902115
Q-PIA-L16,R-PIA-L44,2,35.93,37.82,2.483,2.483,0.0,0.674710733,0.675041955
Q-PIA-L16,R-PIA-L44,3,29.588,31.433,4.328,4.328,0.0,1.0,1.0
Q-PIA-L16,R-NOR-L48,1,16.919,17.341,0.422,0.422,0.0,0.229335006,0.229585352
Q-PIA-L16,R-NOR-L48,2,35.93,37.75,2.242,2.242,0.0,0.674710733,0.674781713
Q-PIA-L16,R-NOR-L48,3,29.588,31.727,4.381,4.381,0.0,1.0,1.0
Q-PIA-L16,R-HUL-L46,1,16.919,17.632,0.713,0.713,0.0,0.229335006,0.229754735
Q-PIA-L16,R-HUL-L46,2,35.93,37.535,2.318,2.318,0.0,0.674710733,0.675494934
Q-PIA-L16,R-HUL-L46,3,29.588,31.883,4.613,4.613,0.0,1.0,1.0
Q-PIA-L16,R-VER-L39,1,16.919,17.51,0.591,0.591,0.0,0.229335006,0.229395042
Q-PIA-L16,R-VER-L39,2,35.93,38.035,2.696,2.696,0.0,0.674710733,0.675935057
Q-PIA-L16,R-VER-L39,3,29.588,32.08,5.188,5.188,0.0,1.0,1.0
Q-RUS-L17,Q-VER-L17,1,16.918,16.858,-0.06,-0.06,0.0,0.229699858,0.22911844
Q-RUS-L17,Q-VER-L17,2,35.898,35.71,-0.248,-0.248,0.0,0.674874017,0.675728701
Q-RUS-L17,Q-VER-L17,3,29.829,29.639,-0.438,-0.438,0.0,1.0,1.0
Q-RUS-L17,Q-NOR-L16,1,16.918,16.908,-0.01,-0.01,0.0,0.229699858,0.229687431
Q-RUS-L17,Q-NOR-L16,2,35.898,35.89,-0.018,-0.018,0.0,0.674874017,0.675472615
Q-RUS-L17,Q-NOR-L16,3,29.829,29.61,-0.237,-0.237,0.0,1.0,1.0
Q-RUS-L17,Q-PIA-L16,1,16.918,16.919,0.001,0.001,0.0,0.229699858,0.229335006
Q-RUS-L17,Q-PIA-L16,2,35.898,35.93,0.033,0.033,0.0,0.674874017,0.674710733
Q-RUS-L17,Q-PIA-L16,3,29.829,29.588,-0.208,-0.208,0.0,1.0,1.0
Q-RUS-L17,Q-LEC-L17,1,16.918,16.987,0.069,0.069,0.0,0.229699858,0.228701446
Q-RUS-L17,Q-LEC-L17,2,35.898,35.823,-0.006,-0.006,0.0,0.674874017,0.674070131
Q-RUS-L17,Q-LEC-L17,3,29.829,29.92,0.085,0.085,0.0,1.0,1.0
Q-RUS-L17,R-LEC-L45,1,16.918,17.525,0.607,0.607,0.0,0.229699858,0.229913909
Q-RUS-L17,R-LEC-L45,2,35.898,37.608,2.317,2.317,0.0,0.674874017,0.675378714
Q-RUS-L17,R-LEC-L45,3,29.829,31.592,4.08,4.08,0.0,1.0,1.0
Q-RUS-L17,R-PIA-L44,1,16.918,17.512,0.594,0.594,0.0,0.229699858,0.228902115
Q-RUS-L17,R-PIA-L44,2,35.898,37.82,2.516,2.516,0.0,0.674874017,0.675041955
Q-RUS-L17,R-PIA-L44,3,29.829,31.433,4.12,4.12,0.0,1.0,1.0
Q-RUS-L17,R-NOR-L48,1,16.918,17.341,0.423,0.423,0.0,0.229699858,0.229585352
Q-RUS-L17,R-NOR-L48,2,35.898,37.75,2.275,2.275,0.0,0.674874017,0.674781713
Q-RUS-L17,R-NOR-L48,3,29.829,31.727,4.173,4.173,0.0,1.0,1.0
Q-RUS-L17,R-HUL-L46,1,16.918,17.632,0.714,0.714,0.0,0.229699858,0.229754735
Q-RUS-L17,R-HUL-L46,2,35.898,37.535,2.351,2.351,0.0,0.674874017,0.675494934
Q-RUS-L17,R-HUL-L46,3,29.829,31.883,4.405,4.405,0.0,1.0,1.0
Q-RUS-L17,R-VER-L39,1,16.918,17.51,0.592,0.592,0.0,0.229699858,0.229395042
Q-RUS-L17,R-VER-L39,2,35.898,38.035,2.729,2.729,0.0,0.674874017,0.675935057
Q-RUS-L17,R-VER-L39,3,29.829,32.08,4.98,4.98,0.0,1.0,1.0
Q-LEC-L17,Q-VER-L17,1,16.987,16.858,-0.129,-0.129,0.0,0.228701446,0.22911844
Q-LEC-L17,Q-VER-L17,2,35.823,35.71,-0.242,-0.242,0.0,0.674070131,0.675728701
Q-LEC-L17,Q-VER-L17,3,29.92,29.639,-0.523,-0.523,0.0,1.0,1.0
Q-LEC-L17,Q-NOR-L16,1,16.987,16.908,-0.079,-0.079,0.0,0.228701446,0.229687431
Q-LEC-L17,Q-NOR-L16,2,35.823,35.89,-0.012,-0.012,0.0,0.674070131,0.675472615
Q-LEC-L17,Q-NOR-L16,3,29.92,29.61,-0.322,-0.322,0.0,1.0,1.0
Q-LEC-L17,Q-PIA-L16,1,16.987,16.919,-0.068,-0.068,0.0,0.228701446,0.229335006
Q-LEC-L17,Q-PIA-L16,2,35.823,35.93,0.039,0.039,0.0,0.674070131,0.674710733
Q-LEC-L17,Q-PIA-L16,3,29.92,29.588,-0.293,-0.293,0.0,1.0,1.0
Q-LEC-L17,Q-RUS-L17,1,16.987,16.918,-0.069,-0.069,0.0,0.228701446,0.229699858
Q-LEC-L17,Q-RUS-L17,2,35.823,35.898,0.006,0.006,0.0,0.674070131,0.674874017
Q-LEC-L17,Q-RUS-L17,3,29.92,29.829,-0.085,-0.085,0.0,1.0,1.0
Q-LEC-L17,R-LEC-L45,1,16.987,17.525,0.538,0.538,0.0,0.228701446,0.229913909
Q-LEC-L17,R-LEC-L45,2,35.823,37.608,2.323,2.323,0.0,0.674070131,0.675378714
Q-LEC-L17,R-LEC-L45,3,29.92,31.592,3.995,3.995,0.0,1.0,1.0
Q-LEC-L17,R-PIA-L44,1,16.987,17.512,0.525,0.525,0.0,0.228701446,0.228902115
Q-LEC-L17,R-PIA-L44,2,35.823,37.82,2.522,2.522,0.0,0.674070131,0.675041955
Q-LEC-L17,R-PIA-L44,3,29.92,31.433,4.035,4.035,0.0,1.0,1.0
Q-LEC-L17,R-NOR-L48,1,16.987,17.341,0.354,0.354,0.0,0.228701446,0.229585352
Q-LEC-L17,R-NOR-L48,2,35.823,37.75,2.281,2.281,0.0,0.674070131,0.674781713
Q-LEC-L17,R-NOR-L48,3,29.92,31.727,4.088,4.088,0.0,1.0,1.0
