axis,x,y,source_points,role
0.0,588.692,2082.268,617,local_frozen_track_geometry_linked_by_relative_distance
0.0025,697.809,2095.745,617,local_frozen_track_geometry_linked_by_relative_distance
0.005,828.081,2111.482,617,local_frozen_track_geometry_linked_by_relative_distance
0.0075,955.851,2126.064,617,local_frozen_track_geometry_linked_by_relative_distance
0.01,1065.502,2138.045,617,local_frozen_track_geometry_linked_by_relative_distance
0.0125,1268.797,2160.579,617,local_frozen_track_geometry_linked_by_relative_distance
0.015,1440.271,2179.804,617,local_frozen_track_geometry_linked_by_relative_distance
0.0175,1490.984,2185.801,617,local_frozen_track_geometry_linked_by_relative_distance
0.02,1597.693,2198.35,617,local_frozen_track_geometry_linked_by_relative_distance
0.0225,1729.294,2213.503,617,local_frozen_track_geometry_linked_by_relative_distance
0.025,1856.935,2227.862,617,local_frozen_track_geometry_linked_by_relative_distance
0.0275,1983.492,2241.776,617,local_frozen_track_geometry_linked_by_relative_distance
0.03,2112.229,2256.079,617,local_frozen_track_geometry_linked_by_relative_distance
0.0325,2241.736,2270.91,617,local_frozen_track_geometry_linked_by_relative_distance
0.035,2366.379,2285.483,617,local_frozen_track_geometry_linked_by_relative_distance
0.0375,2534.938,2304.474,617,local_frozen_track_geometry_linked_by_relative_distance
0.04,2741.718,2327.564,617,local_frozen_track_geometry_linked_by_relative_distance
0.0425,2815.909,2335.949,617,local_frozen_track_geometry_linked_by_relative_distance
0.045,2890.1,2344.333,617,local_frozen_track_geometry_linked_by_relative_distance
0.0475,3084.123,2366.184,617,local_frozen_track_geometry_linked_by_relative_distance
0.05,3258.176,2385.776,617,local_frozen_track_geometry_linked_by_relative_distance
0.0525,3318.725,2392.652,617,local_frozen_track_geometry_linked_by_relative_distance
0.055,3389.882,2400.774,617,local_frozen_track_geometry_linked_by_relative_distance
0.0575,3528.008,2415.372,617,local_frozen_track_geometry_linked_by_relative_distance
0.06,3717.824,2433.063,617,local_frozen_track_geometry_linked_by_relative_distance
0.0625,3900.812,2446.156,617,local_frozen_track_geometry_linked_by_relative_distance
0.065,3956.316,2449.63,617,local_frozen_track_geometry_linked_by_relative_distance
0.0675,4101.85,2507.575,617,local_frozen_track_geometry_linked_by_relative_distance
0.07,4214.816,2567.753,617,local_frozen_track_geometry_linked_by_relative_distance
0.0725,4279.726,2629.633,617,local_frozen_track_geometry_linked_by_relative_distance
0.075,4349.33,2742.321,617,local_frozen_track_geometry_linked_by_relative_distance
0.0775,4383.036,2876.327,617,local_frozen_track_geometry_linked_by_relative_distance
0.08,4396.327,3050.343,617,local_frozen_track_geometry_linked_by_relative_distance
0.0825,4395.732,3152.206,617,local_frozen_track_geometry_linked_by_relative_distance
0.085,4389.922,3258.157,617,local_frozen_track_geometry_linked_by_relative_distance
0.0875,4376.07,3386.805,617,local_frozen_track_geometry_linked_by_relative_distance
0.09,4357.598,3515.606,617,local_frozen_track_geometry_linked_by_relative_distance
0.0925,4336.245,3640.167,617,local_frozen_track_geometry_linked_by_relative_distance
0.095,4311.488,3767.492,617,local_frozen_track_geometry_linked_by_relative_distance
0.0975,4284.736,3893.879,617,local_frozen_track_geometry_linked_by_relative_distance
0.1,4246.864,4053.11,617,local_frozen_track_geometry_linked_by_relative_distance
0.1025,4208.77,4203.456,617,local_frozen_track_geometry_linked_by_relative_distance
0.105,4173.519,4330.534,617,local_frozen_track_geometry_linked_by_relative_distance
0.1075,4131.043,4473.866,617,local_frozen_track_geometry_linked_by_relative_distance
0.11,4089.428,4608.99,617,local_frozen_track_geometry_linked_by_relative_distance
